name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Paguron Pencak Silat Saka Raga Putra Kusumah,"Jalan Gerhana No.4, Cirangrang",-6.958320699999998,107.5854048,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Pondok Pesantren Riyadlul Jannah,"Jalan Gerhana No.4, Cirangrang",-6.958246099999999,107.5865832,OPERATIONAL,4.6,103,"school, point_of_interest, establishment",
Taman belajar Al-Afifiyah,"2HRM+8XR, Afifiyah, Madrasah Diniyah Al, Cirangrang",-6.959148899999999,107.5848854,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SD Negeri Kopo Elok,"Jalan Buana No.8, Cirangrang",-6.9573589,107.5826231,OPERATIONAL,4.8,15,"primary_school, school, point_of_interest, establishment",
Madrasah Diniyah Al-Husna,"Jalan Cakrawala Kopo Elok No.2, Cirangrang",-6.958235999999999,107.5827163,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
TKQ/PaudQ Anak Sholeh,Cirangrang,-6.9552482,107.5869362,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MI ESA Al Muhajirin,"Gang Cirangrang Timur Samping No.67b, Cirangrang",-6.954544799999998,107.5857549,OPERATIONAL,4.9,8,"primary_school, school, point_of_interest, establishment",
PAUD Al Muhajirin,"Gang Cirangrang Timur No.67B, Cirangrang",-6.9545394,107.5857555,OPERATIONAL,5,42,"school, point_of_interest, establishment",
SLB Kasih Ibu,"Gang Cirangrang Timur No.7, Cirangrang",-6.9543038,107.5844308,OPERATIONAL,3.8,4,"school, point_of_interest, establishment",
Rumah,"Gang Sai No.56, Cirangrang",-6.9540921,107.5861108,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUDQu Hidayatul Mukhlisin,"2HWM+CV9, Jalan Raya Kopo gg bpk sai RT.01/RW.03",-6.9539688,107.5847284,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
warung klontongan dan sayuran,"alternatif, jl Kopo cirangrang, Jalan Susukan Jalan Cibaduyut No.timur",-6.9554699,107.5881189,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
