name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sekolah Menengah Pertama Tahfizhul Qur'an Amanah Ummah,"Jalan Cicukang No.54, Cisaranten Bina Harapan",-6.9137432,107.6841189,OPERATIONAL,4.2,12,"school, point_of_interest, establishment",
Pondok Pesantren Tahfizhul Qur'an Amanah Ummah Putri,"Jalan Cicukang No.54, Cisaranten Bina Harapan",-6.9137423,107.6835556,OPERATIONAL,4.7,21,"school, point_of_interest, establishment",
At-Taqwa Islamic Elementary School,"Jalan Golf Selatan I No.32, Cisaranten Bina Harapan",-6.9149667,107.6861119,OPERATIONAL,4.9,186,"primary_school, school, point_of_interest, establishment",
Sekolah Bintang Madani,"Jalan Trs Pesantren No.102, Cisaranten Bina Harapan",-6.913079600000001,107.6816464,OPERATIONAL,4.7,176,"school, point_of_interest, establishment",
Ma'had Al-Mujaddid,"Jalan Golf Selatan ⅤII No.99, RT.02/RW.10, Cisaranten Bina Harapan",-6.9164865,107.6859555,OPERATIONAL,5,8,"school, point_of_interest, establishment",
MK Record Studio,"Jalan Golf Selatan IⅤ No.3, Cisaranten Bina Harapan",-6.9164622,107.6862559,OPERATIONAL,4.4,89,"school, university, store, point_of_interest, establishment",
Pondok pesantren Tahfidzul Qur'an amanah ummah putra Arcamanik Bandung,Jalan Cicukang,-6.913677300000001,107.684344,OPERATIONAL,4,3,"school, point_of_interest, establishment",
Madrasah Al Mudarrisiin,"3MQQ+85H, Jalan Pawenang Cluster, Cisaranten Bina Harapan",-6.9116819,107.6879843,OPERATIONAL,4,3,"school, point_of_interest, establishment",
TK IYEP,Indonesia,-6.912465399999999,107.6832076,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Al Hikmah,"Jalan Cicukang No.25 Rt.02/06, Cisaranten Bina Harapan",-6.911470899999999,107.6830534,OPERATIONAL,5,3,"school, point_of_interest, establishment",
RA At Taqwa,"Jalan Golf Selatan I No.32, Cisaranten Bina Harapan",-6.914952,107.686193,OPERATIONAL,4.1,7,"school, point_of_interest, establishment",
