name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK Al Biruni Griya Caraka,"Jalan Cingised Jalan Kompleks Griya Caraka Raya No.1 Blok H, Cisaranten Endah",-6.929914399999999,107.6733491,OPERATIONAL,5,12,"school, point_of_interest, establishment",
TKIT Permata Bunda,"Jalan Parakan Asri No.44, Cisaranten Endah",-6.932690999999999,107.6727705,OPERATIONAL,4.7,3,"school, point_of_interest, establishment",
Inorobo Robotics School,"Jl Cingised Komplek, Jalan Kompleks Griya Caraka Raya No.E25, Cisaranten Endah",-6.932176,107.6753556,OPERATIONAL,5,4,"school, point_of_interest, establishment",
SDIT Luqmanul Hakim,"D13-D15, Jalan Purnawira, Cisaranten Endah",-6.932102499999999,107.6759779,OPERATIONAL,4.3,38,"primary_school, school, point_of_interest, establishment",
Yoga agustia,"3MCF+48P, Cisaranten Endah",-6.929658,107.6733269,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Amazing Academy,"Jalan Asri II No.8, Cisaranten Endah",-6.928662,107.6716799,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
KB/TK Ulil Albab,"Jalan Ulil Albab No.13, Cisaranten Endah",-6.928363099999999,107.6725502,OPERATIONAL,4.7,3,"school, point_of_interest, establishment",
Lukmanul Hakim Insan Madani,"JL Cingised, Arcamanik, Komplek Griya Caraka No. 5, Cisaranten Endah",-6.9329258,107.6730972,OPERATIONAL,4.5,8,"school, point_of_interest, establishment",
Kampus setikes Darma husada bandung,"3MCF+M7G, Jalan Cingised, Cisaranten Endah",-6.9283245,107.6731971,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
WO PRIDE,"3MCC+QFX, Jalan Cingised, Cisaranten Endah",-6.9280191,107.6712203,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Jahit Bandung,"Jalan Kompleks Griya Caraka Raya No.D35, Cisaranten Endah",-6.932216299999999,107.6749542,OPERATIONAL,4.6,16,"school, point_of_interest, establishment",
Distro Academy Bandung,"Jalan Kompleks Griya Caraka Raya No.D35, Cisaranten Endah",-6.932216299999999,107.6749543,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMPIT Luqmanul Hakim Bandung,"Jalan Cingised No.531, Cisaranten Endah",-6.931544399999999,107.6757986,OPERATIONAL,4.8,33,"school, point_of_interest, establishment",
Makhtab Deeniyat HIJRAH,"3MFC+22G, Jalan Parakan Saat, Cisaranten Endah",-6.927435800000001,107.6700834,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK Sarah Shabrina,"Jalan Parakan Saat No.60, Cisaranten Endah",-6.929076000000001,107.6683362,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Prakarsa Nugraha,"Jalan Parakan Saat No.45, Cisaranten Endah",-6.929662700000001,107.6681199,OPERATIONAL,4,26,"primary_school, school, point_of_interest, establishment",
Labolatorium STIkes Dharma Husada Bandung,"3M9G+VGX, Cisaranten Endah",-6.9302537,107.6763699,OPERATIONAL,4.9,8,"school, point_of_interest, establishment",
