name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
DTA Paku Alam,"3M2R+5X4, Cisaranten Kidul",-6.9496025,107.6924639,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rancapacing,"3M2R+MVJ, Jalan Rancapacing, Cisaranten Kidul",-6.948288799999998,107.6921331,OPERATIONAL,1,1,"school, point_of_interest, establishment",
SD Islam Al-Mu'izz,"Jalan Gedebage Selatan No.97, Cisaranten Kidul",-6.9473767,107.6895904,OPERATIONAL,4.7,17,"school, point_of_interest, establishment",
Pondok Pesantren An-Nawawi,"Jalan Gedebage Selatan No.97, Cisaranten Kidul",-6.9472902,107.6889418,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
Sekolah Dasar Negeri 215 Rancasagatan,"Jalan Rancasagatan No.1, Cisaranten Kidul",-6.951635899999999,107.6992541,OPERATIONAL,4.9,9,"primary_school, school, point_of_interest, establishment",
Yayasan Pondok Pesantren Al-Munawwarah,"Jalan Gedebage Selatan No.15, Cisaranten Kidul",-6.9421134,107.6917123,OPERATIONAL,4.9,15,"school, point_of_interest, establishment",
Travel wisata dan hotel,kulon RT.03/RW.07,-6.942456399999999,107.6893165,OPERATIONAL,5,1,"school, point_of_interest, establishment",
iioy fans club,"3M5R+CC8, Cisaranten Kidul",-6.9414625,107.6910781,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
KB & TK ISLAM AL-MUIZZ,"Komp, Jalan Buana Soetta Residence Blok A No.10, RT.01/RW.15, Cisaranten Kidul",-6.942213100000001,107.6890664,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Homeschooling Cendekia Center Indonesia,"Jalan Riung Gede Permai No.4 Blok B, RW.4, Cisaranten Kidul",-6.9500951,107.6845406,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Pesantren Tinggi Al Qur'an (PTQ) MAQDIS,"Jalan Riung Purna II No.18, Cisaranten Kidul",-6.946855299999999,107.6847894,OPERATIONAL,4.5,13,"school, point_of_interest, establishment",
RANCAKAMURANG Madrasah Diniyah Al A 'rof,"JL. Rancakamurang, RT. 02 RW. 08, Gedebage, Cisaranten Kidul",-6.9429612,107.6872359,OPERATIONAL,4.4,7,"school, point_of_interest, establishment",
