name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Igasar Pindad Vocational High School,"Jalan Cisaranten Kulon No.17, Cisaranten Kulon",-6.931024999999999,107.67948,OPERATIONAL,4.6,73,"secondary_school, school, point_of_interest, establishment",
Al-Islam Polytechnic Bandung,"Jalan Cisaranten Kulon No.120, Cisaranten Kulon",-6.9296096,107.6799366,OPERATIONAL,4.6,51,"university, school, point_of_interest, establishment",
"KB, TK, SD Arvardia Islamic School","Jalan Cisaranten Kulon Raya No.24, Jalan Cisaranten Kulon Raya No.24, Cisaranten Kulon",-6.926442199999999,107.6827545,OPERATIONAL,4.8,27,"school, point_of_interest, establishment",
SMK YPF Bandung,"Jalan Cisaranten Kulon Kelurahan No.105, Cisaranten Kulon",-6.9206493,107.684331,OPERATIONAL,4.6,82,"secondary_school, school, point_of_interest, establishment",
Rumah Bermain MATAHARI KECIL,"Jalan Kompleks Cisaranten Indah No.66, Cisaranten Kulon",-6.9193916,107.6839961,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD Plus Al-Ghifari,"Jalan Cisaranten Kulon No.140, Cisaranten Kulon",-6.9338181,107.679649,OPERATIONAL,4.7,85,"primary_school, school, point_of_interest, establishment",
KOBER BINA INSAN CENDIKIA,"Jalan Cisaranten Kulon IV No.43, Cisaranten Kulon",-6.9265038,107.6794338,OPERATIONAL,5,1,"school, point_of_interest, establishment",
smp lh,"3MFJ+8V3, Cisaranten Kulon",-6.9267363,107.6821731,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kecamatan arcamanik,"3MFJ+8V3, Cisaranten Kulon",-6.9267363,107.6821731,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Komplek griya caraka blok d 15,"3MFJ+7WR, Cisaranten Kulon",-6.9267582,107.6822548,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kedai Bimbingan Belajar,"Jalan Kuping Gajah No.39E, Cisaranten Kulon",-6.9238562,107.6802907,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Wisata Religi Ummu Farhat,"Jalan Cisaranten Kulon No.142, Cisaranten Kulon",-6.927264800000001,107.6824358,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TK Al-Ihsan Islamic School (Nursery and Kindergarten),"Jalan Cisaranten Kulon No.61, Cisaranten Kulon",-6.925605399999998,107.6830906,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Sekolah Quran,"Jalan Vigatama No.18c, Cisaranten Kulon",-6.9229832,107.6804162,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Tk Amanis,"Jalan Cisaranten Kulon I No.9, Cisaranten Kulon",-6.9283736,107.6802063,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Elementary school of Cisaranten Kulon,"Jalan Cisaranten Kulon No.78, Cisaranten Kulon",-6.9246908,107.683512,OPERATIONAL,4.6,12,"primary_school, school, point_of_interest, establishment",
