name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SDN 123 BABAKAN PRIANGAN,"Jalan Babakan Priangan Raya No.29, RT.04/RW.1, Ciseureuh",-6.9468852,107.6134953,OPERATIONAL,4.8,32,"primary_school, school, point_of_interest, establishment",
TK Baitul Hikmah,"Jalan Denki Selatan V No.38, Ciseureuh",-6.946502,107.61137,OPERATIONAL,4.1,9,"school, point_of_interest, establishment",
SDS Al-Fatwa,"Jalan PLN Cigereleng No.101, Ciseureuh",-6.9506431,107.6133591,OPERATIONAL,4.7,18,"school, point_of_interest, establishment",
PKBM Sekolah Insan Kreatif,"Jalan PLN Dalam No.21, Cigereleng",-6.9506405,107.6137273,OPERATIONAL,5,28,"school, point_of_interest, establishment",
SMP Al-Fatwa Bandung,"Komplek PLN Cigereleng, Jalan PLN Dalam No.21, Ciseureuh",-6.950424,107.6136964,OPERATIONAL,4.4,17,"primary_school, school, point_of_interest, establishment",
SMA Nugraha,"Jalan PLN Dalam No.1, Ciseureuh",-6.9513925,107.6113824,OPERATIONAL,3.4,18,"school, point_of_interest, establishment",
SD Nugraha,"2JX6+GGC, Jalan Mochammad Toha, Ciseureuh",-6.951197199999998,107.6112718,OPERATIONAL,4.9,14,"primary_school, school, point_of_interest, establishment",
TK Nugraha,"Jalan PLN Dalam No.4, RW.6, Ciseureuh",-6.9511198,107.6112011,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Perempuan,"Jl. PLN Dalam 1 No. 1/203D RT. 05 RW. 05, Ciseureuh",-6.952649800000001,107.6120723,OPERATIONAL,5,29,"school, point_of_interest, establishment",
raden zimi. boy,"3J26+HXG, ciseureuh, RT.01 rw/RW.09, limbangan timur",-6.9485646,107.6124464,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SDN 112 Pamoyanan,"Gang Haji Ahmad, Ciseureuh",-6.952763599999999,107.6119367,OPERATIONAL,4.1,14,"school, point_of_interest, establishment",
Deasy,"lJalan Babakan ada dua Gang Belorah kiri No.199A, Ciseureuh",-6.9476285,107.6130008,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Ciawi Lingkung Pasir Jawa Barat,"2JW7+77G, Ciseureuh",-6.954320999999999,107.613208,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
