name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
High School Al-Islam,"Jalan Cilengkrang 1 No.28, RT.04/RW.06, Cisurupan",-6.910036000000001,107.7227732,OPERATIONAL,4.7,15,"point_of_interest, school, establishment",
Saung Sirna Dirasa Bandung,"3PVF+GRF, Jalan Cilengkrang 1, Cisurupan",-6.9061818,107.7245603,OPERATIONAL,5,4,"school, point_of_interest, establishment",
Sekolah Alam 'Aisyiyah Cibiru (SAACi),"1ciloa, Jalan Cilengkrang No.41, RT.001/RW.08, Cisurupan",-6.904297499999999,107.7247563,OPERATIONAL,5,9,"point_of_interest, school, establishment",
Raka Jaya,"JL. Cilengkrang 1, RT. 01 RW. 08, Ciloa, Cisurupan, Cisurupan",-6.9054135,107.7253624,OPERATIONAL,4,5,"school, point_of_interest, establishment",
Tkq Qurata A'yun,"Kp Jalan Cilengkrang 1 No.rt03/08, Cisurupan",-6.903364900000001,107.7236493,OPERATIONAL,5,1,"point_of_interest, school, establishment",
Elementary School Cigagak,"Jalan Cilengkrang 1 No.153, Cisurupan",-6.907903,107.7245069,OPERATIONAL,4.5,17,"primary_school, point_of_interest, school, establishment",
Homeschooling Andalusia Cilengkrang,"3PWC+PH8, Cisurupan",-6.9032111,107.7214589,OPERATIONAL,4,2,"school, point_of_interest, establishment",
Tkq Nurul Ummah,Indonesia,-6.9031588,107.7210357,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP AL ISLAM BANDUNG,"Jalan Cilengkrang 1 No.27, Cisurupan",-6.909207899999999,107.7229981,OPERATIONAL,4.2,10,"point_of_interest, school, establishment",
MI ARROFI,"3PVH+438, Jalan Cilengkrang 1, Cisurupan",-6.907221499999999,107.7276964,OPERATIONAL,5,8,"school, point_of_interest, establishment",
Pramudya Payment Point,"Jalan Cilengkrang 1 kp.Cigupakan No.07 Rt.02/09, Cisurupan",-6.9010909,107.7253158,OPERATIONAL,5,1,"point_of_interest, school, establishment",
Ciwaru Cilengkrang,"sdn.hanura, Jalan Ciwaru, Cisurupan",-6.9001942,107.7240942,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD ARUM SARI,"3PRC+2F6, Unnamed Road, Cisurupan",-6.909946499999998,107.7211763,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Taman Bambu Cisurupan,"Jalan Pasir Luhur No.4, Cisurupan",-6.9021412,107.7284515,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Elementary School Hanura,"4P2F+5QF, Jalan Ciwaru, Cisurupan",-6.8995551,107.7244331,OPERATIONAL,4.1,36,"primary_school, point_of_interest, school, establishment",
