name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sekolah Dasar Negeri Bandung Baru 2,"jalan Bukit Raya Seletan No.298, Ciumbuleuit",-6.8638233,107.6068563,OPERATIONAL,4.3,3,"primary_school, school, point_of_interest, establishment",
Sekolah Kristen Hidup Baru,"Jalan Ciumbuleuit No.160, Ciumbuleuit",-6.8655385,107.60608,OPERATIONAL,4.6,34,"school, point_of_interest, establishment",
Paud Mahdiyyah,"4JQ7+W8M, Jalan Cipicung Hilir, Ciumbuleuit",-6.8601562,107.6133086,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Madrasah Barkatulloh,"4JQ7+48G, Ciumbuleuit",-6.862187700000001,107.6133355,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
smp,"4JR7+G3R, Ciumbuleuit",-6.858629700000001,107.612654,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK MELATI 216,"4JR5+HX8, Ciumbuleuit",-6.8585774,107.6099634,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Global Prestasi School Bandung,"Allegro Altura Complex, Jalan Citra Green, Ciumbuleuit",-6.862114999999999,107.6174406,OPERATIONAL,4.7,44,"school, point_of_interest, establishment",
SDN 085 Ciumbuleuit,"Jalan Rereongan Sarupi No.557, Ciumbuleuit",-6.8555572,107.6112783,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Pondok Pesantren HIDAYATUL MUNA,"Jalan Bukit Raya Atas No.60, Ciumbuleuit",-6.860185599999999,107.6073585,OPERATIONAL,5,8,"school, point_of_interest, establishment",
Tk Sejahtera Cidadap,"4JM6+5G7, Jalan Kiputih Dalam, Ciumbuleuit",-6.8670763,107.6112872,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pesantren Manarul Huda,"4JP9+VQ5, Ciumbuleuit",-6.8628749,107.6194775,OPERATIONAL,4.9,21,"school, point_of_interest, establishment",
Sekolahn,"Jalan Bukit Raya Atas No.44a, Ciumbuleuit",-6.8612739,107.6063913,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP Negeri 52 Kota Bandung,"Jalan Bukit Raya Atas, Ciumbuleuit",-6.8606696,107.606352,OPERATIONAL,3.8,44,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Ciumbuleuit IV,"Jalan Bukit Raya No.298, Ciumbuleuit",-6.8638216,107.6068957,OPERATIONAL,5,2,"primary_school, school, point_of_interest, establishment",
SDN 188 Bandung Baru,Ciumbuleuit,-6.863987299999999,107.6067663,OPERATIONAL,4.3,10,"school, point_of_interest, establishment",
Sekolah Menengah Pertama Pgri 2 Kota Bandung,"⛉ Jalan Ciumbuleuit Atas No.48, Ciumbuleuit",-6.8613018,107.6053073,OPERATIONAL,4.2,13,"school, point_of_interest, establishment",
Sekolah Dasar Negeri 085 Ciumbuleuit,"Jalan Bukit Raya No.173, Ciumbuleuit",-6.863215299999998,107.6056025,OPERATIONAL,4.9,16,"primary_school, school, point_of_interest, establishment",
SD Muhammadiyah 6,"4JPC+Q9M, Dago",-6.863048199999999,107.6209327,OPERATIONAL,5,3,"primary_school, school, point_of_interest, establishment",
