name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sekolah Menengah Pertama 35 Bandung,"Jalan Dago Pojok No.12, Dago, Coblong, Jalan Dago Barat No.54, Dago",-6.8746518,107.6169808,OPERATIONAL,4.5,84,"point_of_interest, school, establishment",
Senior High School 19 Bandung,"Jalan Ir. Haji Juanda Jalan Dagopojok No.38, Dago",-6.873716499999999,107.6162923,OPERATIONAL,4.7,114,"point_of_interest, school, establishment",
Sensory Motor School,"Jalan Dago Asri III J No.1 Blok 2, Dago",-6.8781013,107.6136675,OPERATIONAL,5,3,"school, point_of_interest, establishment",
TK Darul Hikam 1 Bandung (PreK & Kindergarten),"Jalan Cisitu Indah No.16, Dago",-6.8777298,107.6129823,OPERATIONAL,4.6,31,"school, point_of_interest, establishment",
PGTK & Day Care Bintang Puri Widya,"Jalan Bangbayang No.11, Sekeloa",-6.880804299999999,107.6170093,OPERATIONAL,4.6,19,"point_of_interest, school, establishment",
Bumi Dega Sunda Academy,"Jalan Ir. H. Juanda No.401, Dago",-6.869233299999999,107.6199728,OPERATIONAL,5,21,"school, point_of_interest, establishment",
SMA Islam Terpadu Miftahul Khoir,"Jalan Tubagus Ismail VIII No.60, Cigadung",-6.880305999999999,107.621488,OPERATIONAL,4.8,59,"point_of_interest, school, establishment",
Sekolah Alam Bandung,"Kp. Tanggulan - Dago Pojok, Coblong, Jalan Cikalapa 2 No.4, Dago",-6.8669265,107.6172382,OPERATIONAL,4.7,96,"point_of_interest, school, establishment",
Al Falah Junior High School Bandung,"Jalan Cisitu Baru No.52, Dago",-6.8830069,107.6131,OPERATIONAL,4.2,57,"point_of_interest, school, establishment",
SMA Al Falah Kota Bandung,Jalan Cisitu Baru No.52,-6.8830409,107.6130224,OPERATIONAL,4.6,86,"point_of_interest, school, establishment",
SEKRETARIAT WIGWAM,"Jalan Ir. Haji Juanda Jalan Dagopojok No.38, Dago",-6.8736998,107.6160518,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TK Aisyiyah 5,"JL. Dago Barat, RT 008/05, 40135, Dago",-6.874963699999999,107.6169775,OPERATIONAL,4.7,7,"school, point_of_interest, establishment",
Bandung Montessori School,"Jalan Dago Asri No.24, Dago",-6.8762805,107.6156773,OPERATIONAL,4.8,4,"point_of_interest, school, establishment",
KOBER AL-HIDAYAH,"Jalan Dago Tengah No.34/159B, RT.07/RW.05, Dago",-6.874349,107.6177352,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
alazhar syifa budi parahyangan,"No.8,, Jalan Dago Asri No.1, Dago",-6.8766037,107.6160662,OPERATIONAL,5,1,"school, point_of_interest, establishment",
MI Al Hidayah Dago,"Jalan Dago Tengah No.RT.07/05, Dago",-6.8746488,107.6181462,OPERATIONAL,5,8,"point_of_interest, school, establishment",
UNPAD DAGO POJOK,"4JG8+QXG, Dago",-6.873072599999999,107.6174655,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
Tk Pratama,"Jalan Dagopojok No.22, Dago",-6.8733483,107.6179031,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Al-Falah,"Jalan Dagopojok No.31 161C, RT.04/RW.05, Dago",-6.873011099999999,107.6178789,OPERATIONAL,5,4,"point_of_interest, school, establishment",
