name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMPN 51 Bandung,"Smpn 51 Bandung, Derwati",-6.9646015,107.6801073,OPERATIONAL,4.4,140,"school, point_of_interest, establishment",
PAUD TERATAI,"Jalan Kerawang Rusunawa Rancacili Twin Blok 3 lantai 1Kel, Derwati",-6.960486299999999,107.6801735,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Tk Al-Hamid Maryam,"2MQM+6V7, Jalan Inten Sejahtera VI, Derwati",-6.9619687,107.6846838,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TKQ Al-Muslimun,"2MPJ+5V8, Jalan Raya Derwati, Derwati",-6.9645768,107.6822035,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK PELANGI CERIA,"2MPJ+4PJ, Jalan Raya Derwati, Derwati",-6.9646515,107.6817773,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Tridaya Bakti Cab Derwati,"Jalan Raya Derwati Gg.Hj.Hamidah No.8, Derwati",-6.964258300000001,107.6833865,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK RAUDHATUL ATHFAL GHINA FITRI,"2MRJ+V66, Jalan Kemakmuran I, Derwati",-6.9578298,107.6805198,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDN 069 Cipamokolan Derwati,"Jalan Raya Derwati No.40, Derwati",-6.9649303,107.6831003,OPERATIONAL,4,34,"primary_school, school, point_of_interest, establishment",
sekolah ambamus,"Jalan Raya Derwati No.6, Derwati",-6.9648281,107.6800705,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Vocational High School Adi Dharma Kencana,"Jalan Raya Derwati No.11a, Derwati",-6.9641661,107.6789355,OPERATIONAL,5,8,"secondary_school, school, point_of_interest, establishment",
LKP Mediana,"JL Keadilan Selatan III, Blok. ND No. 7 Rt. 11/09, Derwati, 40296, Derwati",-6.957386500000001,107.6796726,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
rustandi,"Jalan Raya Derwati No.50, Derwati",-6.965044500000001,107.6840071,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
BIMBEL LOKACITRA,"Jalan Kebon Jeruk Jalan Cipamokolan No.2, Derwati",-6.962669699999999,107.6771737,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Darul Amira,"Jalan Raya Derwati No.62, Derwati",-6.965216999999999,107.684586,OPERATIONAL,3,1,"school, point_of_interest, establishment",
TK Al-Falah,Jalan Kebon Jeruk No.I No. 6,-6.963528599999999,107.6773508,OPERATIONAL,5,8,"school, point_of_interest, establishment",
SLB-BC Bina Kasih,"Jalan Cipamokolan Jalan Kebon Jeruk No.II, Derwati",-6.963237899999999,107.6770774,OPERATIONAL,5,68,"school, point_of_interest, establishment",
RA Ramadhian II,"Jalan Saluyu Indah XII Komplek Riung Bandung Permai No.37, Derwati",-6.9561863,107.6827446,OPERATIONAL,5,2,"school, point_of_interest, establishment",
MIN 2 kota bandung,"2MPG+RMF, Jalan Cipamokolan, Derwati",-6.9629446,107.6766777,OPERATIONAL,5,5,"primary_school, school, point_of_interest, establishment",
Kantor,"MI Negeri Margasari, Jalan Cipamokolan Bodogol No.50, Derwati",-6.963013,107.6766763,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
