name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK YWKA,"Jalan Rajawali Barat No.6, Maleber",-6.91369,107.5763566,OPERATIONAL,4.5,4,"school, point_of_interest, establishment",
SMA YWKA Bandung,"Jalan Elang II No.3, Garuda",-6.914115499999999,107.5759244,OPERATIONAL,4.4,59,"school, point_of_interest, establishment",
Brain Enhancement Center (BEC),"JL Elang Raya, Ruko 2F, Garuda",-6.91486,107.5749245,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Al-Qur'an: Lembaga Private Mengaji Al-Qur'an,"Jalan Rajawali 3 No.46, Garuda",-6.9114503,107.5766763,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SD Negeri 056 Garuda Dadali,"Jalan Dadali No.5, Garuda",-6.9116383,107.5770276,OPERATIONAL,4,27,"primary_school, school, point_of_interest, establishment",
LES GO SMART,"Jalan Dadali 3 No.17/74, Garuda",-6.910523299999999,107.5770573,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD YWKA REL HOMY SCHOOL,"Jalan Rajawali I No.5, Garuda",-6.9127214,107.5772084,OPERATIONAL,4.7,33,"primary_school, school, point_of_interest, establishment",
PAUD Dadali,"Jl. Maleber Utara No.85/187 A, RT.02/RW.03 Kel, Garuda",-6.9096693,107.5764992,OPERATIONAL,2,2,"school, point_of_interest, establishment",
"TK,SD,SMP & Independent homeschooling Dwisakti","Jalan Garuda No.58, Garuda",-6.912712,107.5776565,OPERATIONAL,4.1,16,"primary_school, school, health, point_of_interest, establishment",
SETARA (Terang Nusantara),"Jalan Garuda No.54-56, Garuda",-6.912741299999999,107.5776529,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Bunda Rina School,"Jalan Garuda No.92, Garuda",-6.909682899999999,107.5782126,OPERATIONAL,5,4,"school, point_of_interest, establishment",
