name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
MIS MUSLIMIN,"No., Jalan Gempol Sari No.151, Gempolsari",-6.931629599999999,107.557764,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Madrasah Ibtidaiyah (MI) Al-Firdaus Kampus utama,"Jalan Gempol Asri XII No.4, Gempolsari",-6.936994099999998,107.5556709,OPERATIONAL,5,13,"primary_school, school, point_of_interest, establishment",
Kawasan Belajar Terpadu (KBT) Al-Muflihuun,"Jalan Mirabilis IV, Gempolsari",-6.932592000000001,107.5538856,OPERATIONAL,5,13,"school, point_of_interest, establishment",
Rumah Pandan Sirih,"Gempolsari RT 01/05,Pondok,Bakalan, Gempolsari",-6.9317398,107.5519262,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Arroyan,"Jalan Dirgantara V No.10, Gempolsari",-6.9307508,107.5518714,OPERATIONAL,4.8,12,"school, point_of_interest, establishment",
TK Permata Hati,"Komplek Gempol Sari Indah, Jl. Wijaya Kusuma No. 38, Gempol Sari, Bandung Kulon, Gempolsari",-6.930186099999999,107.5543139,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Rumah,"Jalan Dirgantara IV B No.6, Gempolsari",-6.9301576,107.5520446,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
After School Club,"Jalan Marga Asri II No.A2, Bumi Asri, Gempolsari",-6.931744500000001,107.551188,OPERATIONAL,5,17,"school, point_of_interest, establishment",
Paud Siwi Asri,"3H83+H3H, Gempolsari",-6.9335701,107.5527452,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TPS 047 Kel.Gempolsari,"3H83+H3H, Gempolsari",-6.933600200000001,107.5527323,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Darussalam,Gempolsari,-6.932756100000002,107.5505074,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Dasar Cahaya Nusantara,"Jalan Dirgantara III No.8, Gempolsari",-6.928694699999999,107.5537051,OPERATIONAL,3.9,7,"primary_school, school, point_of_interest, establishment",
Murtiko Ardi Guitar Course,"3H82+6WQ, Gempolsari",-6.934404,107.5523651,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah MI,"3H94+7HC, Jalan Gempol Sari, Gempolsari",-6.931820899999998,107.5563917,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
SDN 273 GEMPOL SARI,"Komplek Bumi Asri No.E-40, Gempolsari",-6.9349585,107.5533126,OPERATIONAL,3.8,5,"primary_school, school, point_of_interest, establishment",
kost Bapak Okim Ibu Ita,"3G9X+HRP, Gempolsari",-6.931045000000001,107.5495673,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
PONDOK PESANTREN NURUL FALAH,"3G9X+JRF, Gempolsari",-6.930925299999999,107.549543,OPERATIONAL,5,8,"school, point_of_interest, establishment",
