name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Princess,"JL Gemuruh, No. 75A/113, Gumuruh, Batununggal, Gumuruh",-6.932422199999999,107.638875,OPERATIONAL,4.3,45,"school, point_of_interest, establishment",
Sekolah Dasar Negeri 220 Gumuruh,"Jalan Taurus No.60, Gumuruh",-6.937225599999999,107.6371182,OPERATIONAL,4.4,11,"primary_school, school, point_of_interest, establishment",
Cerdas Ceria Bilingual School,"JL Terusan Martanegara, No. 22, Kel. Gemuruh Kec. Batununggal, Gumuruh",-6.937675,107.635642,OPERATIONAL,1,1,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Gumuruh 146,"Jalan Gumuruh No.138, Gumuruh",-6.9399742,107.6370897,OPERATIONAL,4.6,20,"primary_school, school, point_of_interest, establishment",
Paud Mawar,"Jalan Gumuruh No.127, Gumuruh",-6.936413899999999,107.6385472,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Bangorinas | Music Production,"Jalan Salendro Raya No.1, Gumuruh",-6.937900699999999,107.6349192,OPERATIONAL,5,8,"school, store, point_of_interest, establishment",
Madrasah Baitulmughni,"3J5P+MRV, Jalan Gumuruh, Gumuruh",-6.940759600000001,107.6370431,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Day Care Juara,"JL Rancagoong, No. 27 A, Gumuruh, Gumuruh",-6.9356778,107.6354056,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Miftahul Jaza,"Jalan Gumuruh No.90, Gumuruh",-6.935065799999999,107.6381411,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Negeri 04 Batununggal,"Jalan Babakan Jati No.92, Gumuruh",-6.941401699999999,107.6370957,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Madrasah Albarokah,"Jalan Babakan Jati No.26, Gumuruh",-6.941317100000001,107.6364361,OPERATIONAL,5,3,"school, point_of_interest, establishment",
