name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Gedung PPAG UNPAR,"Jalan Ciumbuleuit No.94, Hegarmanah",-6.875588,107.6046304,OPERATIONAL,4.9,78,"school, point_of_interest, establishment",
Ismile Preschool,"Jalan Hegarmanah No.26, Hegarmanah",-6.8793618,107.6010472,OPERATIONAL,4.3,15,"school, point_of_interest, establishment",
Sekolah Calon Perwira AD (SECAPA AD),"Jalan Hegarmanah No.152, Hegarmanah",-6.8669407,107.5998025,OPERATIONAL,4.3,243,"school, point_of_interest, establishment",
Arabesque Ballet Studio,"Jalan Doktor Setiabudi No.42-46, Hegarmanah",-6.882415,107.601458,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Robotika Nusantara Setiabudhi,"Jalan Doktor Setiabudi No.4, Hegarmanah",-6.882445,107.6010121,OPERATIONAL,5,42,"school, point_of_interest, establishment",
RA/BA/TA Darul Jihad,"Jalan Hegarmanah No.63, Hegarmanah",-6.8755066,107.5999932,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Taman Kanak- kanak (TK) An Nur,"JL Hegarmanah, No. 27/166 A, Cikendi, Hegarmanah",-6.875877999999999,107.6001416,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD Suruur,"Jalan Hegarmanah No.88, Hegarmanah",-6.8723013,107.6001004,OPERATIONAL,4.9,14,"school, point_of_interest, establishment",
Les Bahasa Jepang,"Jalan Kapten Tendean No.49, Hegarmanah",-6.8742328,107.5984632,OPERATIONAL,5,2,"school, point_of_interest, establishment",
PAUD TK Kasih Sayang Ibu,"Gang Bukit Sastra No.96 B, Hegarmanah",-6.875649699999999,107.6028778,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
TPA AT-TA'LIMAH,"4HGX+W6H, Gang Bp. Ace, Hegarmanah",-6.8726762,107.5981119,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Gelincah,"Jalan Bukit Resik No.24, Hegarmanah",-6.8785865,107.602694,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDN 134 Panorama,"Komp SECAPA TNI-AD, Jalan Hegarmanah No.152, Hegarmanah",-6.8694096,107.6015507,OPERATIONAL,4.3,13,"school, point_of_interest, establishment",
