name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Angkasa Senior High School,"Husein Sastranegara Jalan LMU Subagio No.22, Husen Sastranegara",-6.9057587,107.5827397,OPERATIONAL,4.7,113,"school, point_of_interest, establishment",
Kumon Indonesia - City Square,"Komplek Ruko, City Square, Jalan Abdul Rahman Saleh B-9JL, Husen Sastranegara",-6.9074405,107.5858911,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
Angkasa Junior high school,"Jalan Pajajaran.151 Arjuna, Husen Sastranegara",-6.906478000000001,107.5868097,OPERATIONAL,4.7,51,"school, point_of_interest, establishment",
Training Center Indonesian Aerospace,"4H2J+R8H, Jalan Kapten Tata Natanegara, Husen Sastranegara",-6.897933999999999,107.5808544,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Bandung Pilot Academy,"Jalan Pajajaran No.154A, Husen Sastranegara",-6.9046778,107.5826616,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Husein Language School,"Jalan Pajajaran No.219, Husen Sastranegara",-6.9064516,107.5812129,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Aula SMA Angkasa LHS,"Jalan Pajajaran No.195, Husen Sastranegara",-6.905533399999999,107.5828008,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Barak Wingdiktek TNI AU,"3HVJ+64M, Husen Sastranegara",-6.906920899999999,107.5802968,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PTDI DayCare - PG - TK - Srikandi,Jalan Pajajaran No.154,-6.9010586,107.5848914,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SSB Angkasa Lanud Husein Sastranegara Bandung,"Jalan Pajajaran No.219, Husen Sastranegara",-6.9062729,107.5828826,OPERATIONAL,4.6,18,"school, point_of_interest, establishment",
Tk Srikandi,"Jalan LMU Subagio No.3, Husen Sastranegara",-6.906089999999999,107.5834865,OPERATIONAL,5,1,"school, point_of_interest, establishment",
