name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pelangi Harapan Bangsa School,"Jalan Pada Rapih No.8, Isola",-6.850121700000001,107.5962771,OPERATIONAL,5,6,"school, point_of_interest, establishment",
Student Robotic Community,"4HRR+C8F, Isola",-6.858931699999999,107.5908117,OPERATIONAL,5,11,"school, point_of_interest, establishment",
Mahacita UPI,"Jalan Cilimus No.20, Isola",-6.858954499999999,107.5905406,OPERATIONAL,5,8,"school, point_of_interest, establishment",
UPI Laboratory Senior High School,"Jalan Doktor Setiabudi No.229, Isola",-6.861733999999999,107.592333,OPERATIONAL,4.5,86,"secondary_school, school, point_of_interest, establishment",
SMP Laboratorium Percontohan UPI,"Universitas Pendidikan Indonesia, Jalan Senjayaguru (di dalam No.229, Isola",-6.862139500000001,107.5916946,OPERATIONAL,4.7,59,"school, point_of_interest, establishment",
PAUD Mentari,"Jalan Negla Tengah No.36, Isola",-6.8545998,107.5927662,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP MIFTAHUL IMAN,"Jalan Doktor Setiabudi No.179/171 A, Gegerkalong",-6.854772199999999,107.5936792,OPERATIONAL,4.7,13,"school, point_of_interest, establishment",
Sekolah Dasar Islam Miftahul Iman,"Jalan Negla Utara No.179 / 171 A 179 / 171 A, Isola",-6.854748299999999,107.5937491,OPERATIONAL,3.9,10,"primary_school, school, point_of_interest, establishment",
Tukang kuweh,"4HVV+HJ4, Jalan Negla, Isola",-6.8561036,107.5940676,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Alam Al Ikhlas,"4HVV+FGR, Jalan Sersan Bajuri, Isola",-6.856269999999999,107.593772,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Paud bina bangsa,"4HVR+5P2, Jalan Cilimus, Isola",-6.857103399999999,107.5917566,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Guru Privat SD Bandung - Bimbel Fahri,"Jalan Cilimus No.3, Isola",-6.8580313,107.5912723,OPERATIONAL,5,3,"primary_school, school, point_of_interest, establishment",
Hundoy,"Jalan Sersan Bajuri 1 No.49a, Isola",-6.858568999999999,107.5945056,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
HOMEDOY,"Jalan Sersan Bajuri 1 No.49a, Isola",-6.858928299999998,107.5932351,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
