name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SD-SMP-SMA Pelita Fajar,"Jalan Jend. Sudirman No.467, Jamika",-6.9200015,107.5881881,OPERATIONAL,4.3,43,"school, point_of_interest, establishment",
Multi Talenta School Bandung,"Blok K Jalan Jamika No.29, Sukahaji",-6.9204206,107.5864979,OPERATIONAL,3.9,11,"school, point_of_interest, establishment",
SMP Swadaya 1 Bandung,"Jalan Terusan Pasirkoja No.181, Jamika",-6.925937399999999,107.5889899,OPERATIONAL,4.7,13,"school, point_of_interest, establishment",
Play Group - TK Pelita Fajar,"Jalan Jend. Sudirman No.475, Jamika",-6.918962000000001,107.58798,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
Kelas 6A Angkatan 2019 2020,"Jalan Pagarsih No.181E, Jamika",-6.9229641,107.5891801,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
SD Swadaya 1,"Jalan Pagarsih No.202, Jamika",-6.9222698,107.5885826,OPERATIONAL,4.5,23,"school, point_of_interest, establishment",
Madrasah Diniyyah Islamiyyah Al-Ahliyyah Ali Yasin,"Jalan Pagarsih No.206, Jamika",-6.9220282,107.5886131,OPERATIONAL,5,6,"school, point_of_interest, establishment",
Majelis Talim dan Istighosah Elmuna,"Gang Mukalmi No.466/86, Jamika",-6.921967200000002,107.5902818,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Sheryl's,"Gang Holili No.85/87, Jamika",-6.9225164,107.5879503,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP Swadaya 2 Bandung,"Gang Sastra No.181E, Jamika",-6.923714299999999,107.588591,OPERATIONAL,4.3,4,"school, point_of_interest, establishment",
