name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMPI Al Washliyah Bandung,"3M76+F52, Jalan Kawaluyaan Raya, Jatisari",-6.936351999999999,107.6603897,OPERATIONAL,4.8,6,"school, point_of_interest, establishment",
LPGTK Bina Puri Handayani (PG/TK/Day Care),"Jalan Soekarno-Hatta No.725D, Jatisari",-6.938557599999998,107.6665625,OPERATIONAL,4.6,5,"school, point_of_interest, establishment",
Vocational High School 13 Bandung,"Jalan Soekarno-Hatta No.KM. 10, Jatisari",-6.9385547,107.6569952,OPERATIONAL,4.7,355,"school, point_of_interest, establishment",
Cerdas Ceria Bilingual School,"3M86+6MJ, Jalan Kawaluyaan Indah Raya, Jatisari",-6.9344173,107.6616366,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Yayasan Al amanah,"Jalan Kawaluyaan Indah VI No.41, Jatisari",-6.934780000000002,107.660852,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Growmax Indonesia,"Jalan Sanggar Kencana XXV No.11A, RW.23, Jatisari",-6.935003600000001,107.6642452,OPERATIONAL,5,2,"school, point_of_interest, establishment",
PAUD TK KRISTEN PKMI Methodist Bandung,"Jalan Sanggar Kencana XXVII No.42, Jatisari",-6.933477,107.6641621,OPERATIONAL,3.4,10,"school, point_of_interest, establishment",
PLAYGROUP DAY CARE AL FALAH,"Jalan Kawaluyaan Indah I No.66, Jatisari",-6.9335826,107.6594026,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Al Husna,"3M75+79J, Jalan Kawaluyaan, Jatisari",-6.9367825,107.6583768,OPERATIONAL,5,11,"school, point_of_interest, establishment",
DR_TEA WORKSPACE,"Jalan Sanggar Kencana X No.6, Jatisari",-6.934846,107.665665,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Modern Tadika Puri,"Jalan Sanggar Kencana Ⅵ No.11, Jatisari",-6.935842999999999,107.6662476,OPERATIONAL,5,9,"school, point_of_interest, establishment",
Yayasan Tadika Puri - Sanggar Hurip,"Jalan Sanggar Kencana Ⅵ No.11, Jatisari",-6.935851800000001,107.6662716,OPERATIONAL,5,1,"school, point_of_interest, establishment",
"Pos Paud Kenanga ""Terakreditasi B""","3M88+MHH, Jalan Sanggar Kencana XX, Jatisari",-6.933301999999999,107.666487,OPERATIONAL,5,4,"school, point_of_interest, establishment",
Rooftop Bagas (PAUD MAWAR),"3M79+M5G, Jalan Jatisari lI, Jatisari",-6.9358192,107.6679445,OPERATIONAL,5,1,"school, point_of_interest, establishment",
