name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PPTQ (Pondok Pesantren Tahfidz Al Quran) Assalaam,"Jalan Mandala VI No.132, Jatihandap",-6.8911391,107.6661874,OPERATIONAL,4.7,109,"school, point_of_interest, establishment",
Ma'had Abu Aziz,"Jalan Jamaras IV No.11B, Jatihandap",-6.903207099999999,107.6649322,OPERATIONAL,4.8,12,"school, point_of_interest, establishment",
PAK ATIP,"4M36+GFF, Jatihandap",-6.896184400000001,107.6611638,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Tabib Muda Asep Ruhiyat,"Jalan Jatihandap Timur No.41 RT.04/RW.15, Mandala Jati, Cicaheum, Jatihandap",-6.897841199999999,107.6612953,OPERATIONAL,Unknown,Unknown,"school, health, point_of_interest, establishment",
TK-KB-TPQ BAITUL MAQDIS,"Gang H Idris, Jatihandap",-6.895731099999999,107.6603339,OPERATIONAL,5,7,"school, point_of_interest, establishment",
As-safir Islamic Boarding School (putra),"Jalan Jatihandap Gg. Hj. Saodah No.129-130, RT.009/RW.006, Jatihandap",-6.8972805,107.6605089,OPERATIONAL,4.5,35,"school, point_of_interest, establishment",
SD Islam Ash Shaff,"Jalan Jatihandap Timur No.52, RT.004/RW.015, Jatihandap",-6.8976934,107.6607096,OPERATIONAL,4.9,44,"primary_school, school, point_of_interest, establishment",
Kober Alamanda,"4M26+V86, Jatihandap",-6.8978363,107.6607548,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
"RA.""Syamsi Dhuha""","Jalan Jatihandap No.99, Jatihandap",-6.893690500000001,107.6606779,CLOSED_TEMPORARILY,5,3,"school, point_of_interest, establishment",
Kelompok Bermain Harapan Bangsa,"Jalan Tanjakan No.20, Jatihandap",-6.893071099999999,107.6657173,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren,"Jalan Jatihandap No.44, Jatihandap",-6.892272599999999,107.6624392,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
Pos PAUD Ath-Tholibiina,"Jalan Jatihandap Timur No.117, RT.03/RW.10, Jatihandap",-6.8920806,107.662575,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Penerimaan Adik Baru,"4M45+2V5, Jalan Jatihandap, Jatihandap",-6.894978699999999,107.6597482,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
ASSAFIR KANTOR,"4M26+V42, Jalan Cicabe, Jatihandap",-6.8978611,107.6602711,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Studio 49,"Jl. Jatihandap Utara No.49 RT 04/10, Jatihandap",-6.8918327,107.6632526,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Parkiran Pesantren Assafir,"Gang Taqwa No.20, Jatihandap",-6.897896199999999,107.6597929,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Rumah Al Qur'an Jatihandap,"Jalan Cicabe RT.04/RW.06, Jatihandap",-6.898826100000001,107.6603519,OPERATIONAL,5,3,"school, point_of_interest, establishment",
SD Negeri Tanjakan,"Jalan Jatihandap No.64, Jatihandap",-6.891010499999999,107.6633497,OPERATIONAL,4.5,19,"primary_school, school, point_of_interest, establishment",
