name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
STE TRAINING CENTER,"Jalan Laswi No.23, Kacapiring",-6.9208979,107.6372784,OPERATIONAL,4.5,8,"school, point_of_interest, establishment",
Plaza dakwah sukabumi,"3JMM+2FQ, Jalan Sukabumi, Kacapiring",-6.917404400000001,107.6337439,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
PAUD PLUS AL-RASYADA,"Jalan Cianjur No.34, Kacapiring",-6.916879999999999,107.633384,OPERATIONAL,5,2,"school, point_of_interest, establishment",
KB Playgroup Mutiara Bunda,"Jalan Sukabumi No.18-126, Kacapiring",-6.9163377,107.6349365,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Smk Pu N Provinsi Jawa Barat,"Jalan Garut No.10, Kacapiring",-6.917480999999999,107.6324221,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Sekolah Dasar Negeri 203 Kacapiring,"Jalan Sukabumi Dalam No.3, Kacapiring",-6.9162858,107.6352447,OPERATIONAL,4.5,14,"primary_school, point_of_interest, school, establishment",
Sekolah Menengah Kejuruan YPPT Bandung,"Jalan Sukabumi Dalam No.3, Kacapiring",-6.916016999999999,107.6349654,OPERATIONAL,4.4,19,"secondary_school, point_of_interest, school, establishment",
TK Al- Mustafa,"Jalan Sukabumi Dalam No.15, Kacapiring",-6.9178305,107.6365823,OPERATIONAL,5,2,"point_of_interest, school, establishment",
Raudhatul Athfal Al Ikhsan,"Jalan A. Yani No.296, Kacapiring",-6.915197300000002,107.6333901,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Les Privat Nawasena,Jalan Sukabumi,-6.9146919,107.6349302,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Masjid Nurul Falaah KPAD PALDAM III Siliwangi,"Jalan Sukabumi No.42, Kacapiring",-6.9146519,107.6348773,OPERATIONAL,4.3,3,"school, point_of_interest, establishment",
TK Kartika Siliwangi XIX 2,Jalan Jakarta No.10,-6.914897699999999,107.6358441,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
