name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pondok Pesantren NURUL IMAN CIKADUT,"4M2C+CRW, Karang Pamulang",-6.8988982,107.672079,OPERATIONAL,4.2,10,"school, point_of_interest, establishment",
Madrasah Tsanawiyah Miftahul Huda,"Jalan Cikadut No.252, Karang Pamulang",-6.897473499999999,107.671252,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Madrasah Interaktif MIMHa (PG/RA - MI - MTs INFORMATIKA) di Bandung,"Jalan A.H. Nasution Jalan Cikadut No.252, Karang Pamulang",-6.897317999999999,107.6712754,OPERATIONAL,4.9,69,"school, point_of_interest, establishment",
Lembur Wisata Sakola (LEWI'S),"Jln. Cikadut Nomor 252 RT/RW 006/003, Kelurahan, Karang Pamulang",-6.8974202,107.6708814,OPERATIONAL,5,6,"primary_school, school, point_of_interest, establishment",
TK Islam Permata Ilmu,"Jalan Cikadut No.253, Karang Pamulang",-6.896932899999999,107.6715401,OPERATIONAL,4.9,16,"school, point_of_interest, establishment",
"Miftahul Huda Islamic Private Elementary School, Karang Pamulang","Jalan Cikadut No.252, Karang Pamulang",-6.8972262,107.6707832,OPERATIONAL,4.7,11,"primary_school, school, point_of_interest, establishment",
Sekolah Dasar Negeri 174 Pasir Impun,"Jalan Pasir Impun No.23, Karang Pamulang",-6.898333900000001,107.6735147,OPERATIONAL,4.8,6,"primary_school, school, point_of_interest, establishment",
biMBA AIUEO Pasir Impun Mandalajati,Perum pasir impun valley No.011 blok b4 005,-6.898936899999999,107.6733653,OPERATIONAL,5,14,"school, point_of_interest, establishment",
Sekolah Islam Cahaya Nalar,"Komplek, Jalan Girimande No.11, Karang Pamulang",-6.8967052,107.670259,OPERATIONAL,5,13,"school, point_of_interest, establishment",
Gani Throwers Range,"4M3F+P23, Karang Pamulang",-6.895733,107.6725579,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK Deviana Giri Mande,"Jalan Girimande No.19 Blok B1, Karang Pamulang",-6.895201900000001,107.6715693,OPERATIONAL,4,1,"school, point_of_interest, establishment",
Griya Al Qur'an Bandung,Karang Pamulang,-6.895879,107.6694923,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PKBM AL IKHLASH Pasir impun Bandung,"Jalan Pasir Impun Barat No.124, Karang Pamulang",-6.9008116,107.6741857,OPERATIONAL,4.7,14,"school, point_of_interest, establishment",
Ma'had Al-Ikhlash Pasir Impun,"Ma'had Al-Ikhlash, Jalan Pasir Impun Barat RT.4/RW.7, Karang Pamulang",-6.9008409,107.6741799,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Pondok Pesantren Miftahul Mukhlishin,"Jl. Cikadut RT/RW 02/03, Karang Pamulang",-6.897833599999999,107.6684403,OPERATIONAL,4.9,8,"school, point_of_interest, establishment",
SMA Tunas Unggul,"Jl Abah Sastro No.20, RT.05/RW.11, Karang Pamulang",-6.898876200000001,107.6756253,OPERATIONAL,5,21,"school, point_of_interest, establishment",
PAUD TANJUNG BANDUNG,Karang Pamulang,-6.9022665,107.6732019,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Kuttab Al Fatih Bandung - Cikadut,"Jalan Cikadut Dalam No.84, Karang Pamulang",-6.900830000000001,107.6682528,OPERATIONAL,5,33,"school, point_of_interest, establishment",
