name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Christian Junior High School Kalam Kudus,"Kompleks Istana Mekar Wangi, Jalan Mekar Puspita No.53-55, Kebon Lega",-6.9507777,107.5982122,OPERATIONAL,4,49,"school, point_of_interest, establishment",
Kumon Indonesia - Muara Baru,"Komplek Muara BaruJL. Muara Baru No.11, Situsaeur",-6.9398069,107.5986967,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SMA dan SMP YP. SEJATI (YPS),"3H2X+VP4, Kebon Lega",-6.947867299999999,107.5993385,OPERATIONAL,5,4,"school, point_of_interest, establishment",
Base Camp (BC) PION,"Jalan Cibaduyut Dalam, Kebon Lega",-6.950013200000001,107.5966862,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Cahaya Restu,"JL Leuwi Panjang, Gg. Amung, No. 29, Kopo, Kebon Lega",-6.944936999999998,107.595652,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Yayasan Kalam Kudus Indonesia Cabang Bandung,"Jalan Mekar Puspita No.53 - 55, Kebon Lega",-6.9505386,107.5983047,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Husnul Hotimah Paud Ra TPQ,"3J32+H7G, Jalan Inhoftank, Kebon Lega",-6.946072999999998,107.600695,OPERATIONAL,4.9,9,"school, point_of_interest, establishment",
TK/RA AL-LABIB,"Jalan Muarasari No.1, Kebon Lega",-6.944694200000002,107.5999736,OPERATIONAL,4,1,"school, point_of_interest, establishment",
SDN 026 Bojongloa,"Jalan Cibaduyut No.39-43, Kebon Lega",-6.9489962,107.5940239,OPERATIONAL,4.5,17,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Bojongloa 2,"Jalan Cibaduyut No.142/199C, Kebon Lega",-6.9491068,107.5940141,OPERATIONAL,4.4,5,"primary_school, school, point_of_interest, establishment",
TK tappetua,"Jalan Soekarno-Hatta No.238, Kebon Lega",-6.9471979,107.5936044,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SD Negeri Bojongloa 1,"Jalan Cibaduyut No.142/199C, Kebon Lega",-6.9491225,107.5938583,OPERATIONAL,3,9,"primary_school, school, point_of_interest, establishment",
SDN 200 Leuwipanjang,"Jalan Muara Sari V No.49, Kebon Lega",-6.943734000000001,107.59972,OPERATIONAL,4.5,76,"primary_school, school, health, point_of_interest, establishment",
