name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMK Persada Cendekia,"Fakultas Teknik Unbar, Jalan Banten Kelurahan No.11, Kebonwaru",-6.916595,107.640823,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Islamic Fashion Institute,"Jalan A. Yani No.390, Kebonwaru",-6.911865199999999,107.6384,OPERATIONAL,5,113,"school, point_of_interest, establishment",
Kelas Karyawan Bandung,"Jalan Banten No.9-11, Kebonwaru",-6.9162034,107.6405489,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sttt Tekstil,"Jalan Jakarta No.49A, Kebonwaru",-6.9138679,107.6410121,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD Yayasan Jembar,"3JPR+GC8, Jalan Jatinegara, Kebonwaru",-6.913710900000001,107.6410929,OPERATIONAL,5,3,"primary_school, school, point_of_interest, establishment",
SMP/SMA UNGGULAN DARUL HIKAM,"Jalan Jakarta No.34, Kebonwaru",-6.9145257,107.6391959,OPERATIONAL,4.7,15,"school, point_of_interest, establishment",
PAUD KOBER KASIH BUNDA,"Gang Laksana 5 No.290a, Kebonwaru",-6.9134045,107.6421917,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Bintang Ceria - Bandung Children Autism Therapy Centre,"Jalan Anyer No.22, Kebonwaru",-6.916177299999998,107.6381053,OPERATIONAL,5,52,"school, point_of_interest, establishment",
Tk Anzar,"3JJQ+GG5, Jalan Anyer Dalam, Kebonwaru",-6.9187451,107.6388679,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK PELITA,"Jalan Labuan No.18A, Kebonwaru",-6.917237399999999,107.6378779,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Jakarta raya,"3JPQ+648, Jalan Jakarta, Kacapiring",-6.914456999999999,107.6378292,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Madrasah Al-Huda,"Jalan A. Yani Jalan Jatinegara No.189, Kebonwaru",-6.9122295,107.6404666,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MOONRAKER ANYER DALAM,"3JJP+PXF, Jalan Anyer Dalam, Kebonwaru",-6.9181857,107.6374368,OPERATIONAL,1,1,"school, point_of_interest, establishment",
