name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Kober al fattah,"3H5Q+F9M, Jalan Citarip Kidul Dalam I RT.5/RW.7, Kopo",-6.941285300000001,107.5884287,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
ra thoriqul huda,Kopo,-6.941470399999999,107.5890469,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MIS Thoriqul Huda,"3H5Q+GMF, Jalan Cetarip Barat RT.04/RW.07",-6.941198099999999,107.5891684,OPERATIONAL,5,6,"primary_school, school, point_of_interest, establishment",
TK Negeri Pembina Citarip,"Komplek BTN, Jalan Cetarip Barat Jalan Raya Kopo No.2, RT.05/RW.09, Kopo",-6.939908300000001,107.5885376,OPERATIONAL,4.4,19,"school, point_of_interest, establishment",
MI QOSHRUL MUTTAQIN,"3H4Q+VHM, Jalan Raya Kopo, Kopo",-6.9427854,107.5889084,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
TK Raudhatul Atfal Al jabbari,"Jalan Cetarip Raya No.214, Kopo",-6.938656,107.5884697,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pasundan 5 Junior High School,"3H4P+W2R, Jalan Babakan Ciparay ⛉ Gang Ata Kiria I, Jalan Babakan Ciparay Gang Ata Kiria I, Kopo",-6.942643400000001,107.585008,OPERATIONAL,4.4,13,"school, point_of_interest, establishment",
SDN 147 Citarip Barat,Kopo,-6.9390637,107.5851884,OPERATIONAL,5,13,"school, point_of_interest, establishment",
Rumah MangRob EXPLANER Terkuat,"Gang Ata Kiria II No.1, Kopo",-6.942372799999998,107.5845968,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMA Pasundan 9,"Gang Ata Kiria II No.28, Kopo",-6.942321600000001,107.5845712,OPERATIONAL,4.7,12,"school, point_of_interest, establishment",
sma negri 18 bandung,"Gang Ata Kiria II No.27, Kopo",-6.942320199999999,107.5845435,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Citarip Barat 3,"3H6M+CQW, Jalan Madesa No.24, Kopo",-6.939030199999999,107.5850626,OPERATIONAL,5,4,"primary_school, school, point_of_interest, establishment",
gang atakiria II,"Gang Ata Kiria II No.27, Kopo",-6.942892,107.5844939,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMA Negeri 18 Bandung,"Jalan Madesa No.18, Kopo",-6.938412499999999,107.5852419,OPERATIONAL,4.5,161,"secondary_school, school, point_of_interest, establishment",
MTs Salafiyah,"Jalan Raya Kopo No.322, Kopo",-6.9421008,107.5911612,OPERATIONAL,4.6,10,"school, point_of_interest, establishment",
Rental PS Roky (PlayStation),"3H6Q+VPF, Jalan Sukamulya Dalam No.59, RT.05/RW.10, Kopo",-6.9378131,107.5892882,OPERATIONAL,5,7,"school, point_of_interest, establishment",
