name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sekolah Binekas (PG-TK-SD),"Komp. G7, Jalan Buah Batu Regency No.6-7, Kujangsari",-6.961546299999999,107.6423914,OPERATIONAL,4.8,54,"school, primary_school, point_of_interest, establishment",
SLB Prananda,"Jalan Buana Mekar I Kelurahan No.16, Kujangsari",-6.959463599999999,107.6457571,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
Sekolah Renang Go Swim,"Jalan Buah Batu Regency, Kujangsari",-6.9618612,107.6424626,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TK Foundation Binekas,"JL Komplek Buah Batu Regency, Blok G7, No. 6-7, Buah Batu, Kujangsari",-6.961615600000001,107.6423255,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
TAAM JASIR AL JAYYID,"Jalan Ciparay No.91, Kujangsari",-6.959603099999999,107.642675,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Pondok Pesantren Makkah Al-Mukarromah 2,"2JQR+4C9, Kujangsari",-6.962084399999999,107.6408816,OPERATIONAL,5,7,"school, point_of_interest, establishment",
TK Ar-Risalah,"Jalan Terusan Logam No.11, Kujangsari",-6.962632600000001,107.6446367,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Sanggar Pelangi Indonesia 1,"Jalan Ciparay No.143, Kujangsari",-6.959470899999999,107.6431153,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Tahfidz Qur'an Baburraman,"Jalan Kompleks Permata Buah Batu No.23 C1, Lengkong",-6.962688900000001,107.6407955,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TK Pelangi Ceria,"Jalan Ciparay No.193, Kujangsari",-6.958939099999999,107.6413933,OPERATIONAL,5,9,"school, point_of_interest, establishment",
SDIT Al Fajar,"Jalan Komplek Buana Sari 4, No. 18-21, Margasari, Buah Batu, Kujangsari",-6.9646171,107.6432484,OPERATIONAL,4.8,36,"primary_school, school, point_of_interest, establishment",
Private Forex University,"Jalan Haji Bardan II Jalan Logam No.mor 19, Kujangsari",-6.9621726,107.645878,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Villa Quran,"Pertokoan Nuansa Indah No. R15, Jalan Ciparay, Kujangsari",-6.9591142,107.6406662,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Office & PG-TK Al-Azhar Cairo Bandung,"Jl Ciparay, Ruko Nuansa Indah No, Blok S1-S2, Kujangsari",-6.959075599999999,107.640488,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Yayasan Asy Syahiid Bandung,"2JQW+PF4, Jalan H. Bardan III, Kujangsari",-6.960748,107.6461942,OPERATIONAL,5,41,"school, point_of_interest, establishment",
TK KB Nurul Inayah,"Jalan H. Bardan III No.24, Kujangsari",-6.9599845,107.6460255,OPERATIONAL,5,1,"school, point_of_interest, establishment",
PAUD AL-MUHAJIRIN,"Blok M No.3 Kel, Kujangsari",-6.963844,107.6395037,OPERATIONAL,4.1,22,"school, point_of_interest, establishment",
Kantor Bunda Bakti,"2JPW+48X, Kujangsari",-6.964630100000001,107.6458605,OPERATIONAL,5,1,"school, point_of_interest, establishment",
RA/BA/TA Anak Sholeh,"Jalan Terusan Buah Batu No.9, Kujangsari",-6.9602871,107.6386965,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
