name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMA Negeri 1 Bandung,"Jalan Ir. H. Juanda No.93, Lebak Siliwangi",-6.895262900000001,107.6126328,OPERATIONAL,4.8,567,"point_of_interest, school, establishment",
West Campus Center ITB,"4J56+F2W, Lebak Siliwangi",-6.8912625,107.6100761,OPERATIONAL,4.7,18,"school, point_of_interest, establishment",
SEEI ITB: School of Electrical Engineering and Informatics ITB,"Gedung Achmad Bakrie, Labtek VIII Jalan Ganesa No.10, Lebak Siliwangi",-6.890618099999998,107.6109925,OPERATIONAL,4.9,103,"point_of_interest, school, establishment",
Magister Sistem dan Teknik Jalan Raya ITB,"Jalan Ganesa No.10, Lebak Siliwangi",-6.8921761,107.6092527,OPERATIONAL,4,2,"school, point_of_interest, establishment",
College Building ITB 9009,"4J56+59Q, Lebak Siliwangi",-6.892032400000001,107.6109919,OPERATIONAL,5,2,"school, point_of_interest, establishment",
"SAPPD ITB: School of Architecture, Planning, and Policy Development ITB","4J56+9GP, Jalan B, Lebak Siliwangi",-6.8915411,107.611326,OPERATIONAL,4.9,70,"point_of_interest, school, establishment",
School of Life Sciences and Technology ITB,"Sekolah Ilmu dan Teknologi Hayati – ITB, Labtek XI, Jalan Ganeca No.10, Lebak Siliwangi",-6.889557300000001,107.6095188,OPERATIONAL,4.8,72,"point_of_interest, school, establishment",
Sekretariat HMME Atmosphaira ITB,"4J65+7Q9, Lebak Siliwangi",-6.8893282,107.6094861,OPERATIONAL,5,10,"school, point_of_interest, establishment",
Ikatan Mahasiswa Geodesi ITB,"Jalan I ITB, Lebak Siliwangi",-6.8913371,107.6123203,OPERATIONAL,5,34,"school, point_of_interest, establishment",
Fakultas Teknik Pertambangan dan Perminyakan ITB,"4J67+H2F, Jalan H ITB, Lebak Siliwangi",-6.888565300000001,107.6125621,OPERATIONAL,4.9,10,"school, point_of_interest, establishment",
Villa Merah (BPUDL ITB),"Jalan Tamansari No.78, Lebak Siliwangi",-6.8945718,107.6088728,OPERATIONAL,4.7,7,"school, point_of_interest, establishment",
Bunda Ganesa,"Jalan Gelap Nyawang No.2, Lebak Siliwangi",-6.894623600000001,107.6112711,OPERATIONAL,5,23,"point_of_interest, school, establishment",
Galenia Mom & Child Center,"Jalan Badak Singa No.8, Lebak Siliwangi",-6.8976568,107.6119129,OPERATIONAL,4.5,34,"point_of_interest, school, establishment",
