name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Indonesian Armed Forces Staff and Command School,"Jalan Martanegara No.11, Lingkar Selatan",-6.9333592,107.6291104,OPERATIONAL,4.4,135,"school, point_of_interest, establishment",
SESKOAD,"Jalan Gatot Subroto No.96, Lingkar Selatan",-6.9252292,107.6288071,OPERATIONAL,4.5,998,"school, point_of_interest, establishment",
Bintang Hati Daycare and Preschool,"Jalan Galunggung No.10, Lingkar Selatan",-6.926268599999998,107.6256718,CLOSED_TEMPORARILY,5,3,"school, point_of_interest, establishment",
Al Azhar 36 Elementary School Bandung,"Jalan Patuha No.36, Lingkar Selatan",-6.9276222,107.6242254,OPERATIONAL,4.4,113,"school, point_of_interest, establishment",
SMP Alfa Centauri,"Jalan Palasari No.9, Lingkar Selatan",-6.927834599999999,107.6234392,OPERATIONAL,4.8,83,"school, point_of_interest, establishment",
Studio Kayu Montessori Material,"Jalan Turangga Timur No.7a, Lingkar Selatan",-6.931632099999999,107.6355806,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Universitas Kebangsaan Republik Indonesia,"Jalan Terusan Halimun No.37, Lingkar Selatan",-6.927163,107.626359,OPERATIONAL,4.5,293,"university, school, point_of_interest, establishment",
Pintu III Seskoad,"3JCH+XM5, Jalan Ciremay, Lingkar Selatan",-6.927610699999999,107.6292348,OPERATIONAL,5,7,"school, point_of_interest, establishment",
GEBE SESKO TNI,"3J9H+HCX, Unnamed Road, Lingkar Selatan",-6.9310197,107.6286064,OPERATIONAL,5,1,"school, point_of_interest, establishment",
"Kompleks,seskoad","3J9H+V4G, Jalan Ciremay, Lingkar Selatan",-6.9303154,107.6278228,OPERATIONAL,3,3,"school, point_of_interest, establishment",
Sesko TNI AD Bandung,"3JFH+9MQ, Jalan Pasar Seskoad, Lingkar Selatan",-6.92653,107.6292321,OPERATIONAL,4.1,9,"school, point_of_interest, establishment",
TK KARTIKA XI-I SESKOAD,"Jalan Gatot Subroto No.96, Lingkar Selatan",-6.930562300000001,107.6267147,OPERATIONAL,5,2,"school, point_of_interest, establishment",
gedung GATOT SUBROTO,"Seskoad, Lingkar Selatan",-6.926242,107.6279438,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMA MA'ARIF,Jalan Terusan Galunggung No.9B,-6.928177499999999,107.6258676,OPERATIONAL,5,1,"secondary_school, school, point_of_interest, establishment",
SMK MA'ARIF,"Jalan Terusan Galunggung No.9, Lingkar Selatan",-6.928025799999999,107.6259112,OPERATIONAL,4.3,35,"secondary_school, school, point_of_interest, establishment",
Balaturangga Stable,"Jalan Salak No.2f, Lingkar Selatan",-6.9285242,107.633534,OPERATIONAL,4.3,4,"school, point_of_interest, establishment",
SMP Ma'arif Bandung,"Jalan Terusan Galunggung No.9, Lingkar Selatan",-6.927979799999999,107.6257389,OPERATIONAL,5,37,"school, point_of_interest, establishment",
SAKO Ma'arif NU Jawa Barat,"Jalan Terusan Galunggung No.9, Lingkar Selatan",-6.927959799999999,107.6256619,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
