name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Madrasah Diniyah AlBarokah,"Jalan Inpres Raya No.12, Maleber",-6.907311099999999,107.5707991,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Tk. Ibu Hj. Iyah,"3HRF+365, Jalan Dadali, Maleber",-6.9098691,107.5731191,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD PELITA HATI WAIROTANG,"3HRC+FM7, Jl. Srigunting RT.010/RW.005",-6.908827500000001,107.571665,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
SD Maleber Selatan,"3HQC+X9W, Gang Latifah, Maleber",-6.9100091,107.5709494,OPERATIONAL,4.1,14,"point_of_interest, school, establishment",
Nama,"3HRF+R3R, Maleber",-6.9078762,107.5726476,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
PAUD KB Anggrek,"Jalan Rajawali Barat Gang Ibu Karees I No.293/187B Rt02, RW.02, Maleber",-6.9103403,107.5710766,OPERATIONAL,4.8,4,"point_of_interest, school, establishment",
KOBER Mekar Arum,"3HRC+H9P, Jalan Maleber Barat, Maleber",-6.908529399999999,107.5709661,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Madrasah Al-Amin,"Jalan Srigunting Raya No.58, Maleber",-6.9069822,107.572863,OPERATIONAL,4.3,7,"point_of_interest, school, establishment",
TK MAKAILA,Indonesia,-6.910924700000001,107.5698345,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kampus 1 RAJAWALI,"3HQF+372, Maleber",-6.9123511,107.5731377,OPERATIONAL,4,1,"point_of_interest, school, establishment",
