name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Yayasan Imam Malik Bandung,"Jalan Kebon Gedang No.107, Maleer",-6.930065799999999,107.6416898,OPERATIONAL,5,51,"school, point_of_interest, establishment",
Taman Kanan-kanak Qur'an (TKQ) As Sakinah,"Jalan Maleer Indah II No.7, Maleer",-6.9268478,107.6382962,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Kober Anggrek,"Jalan Kebon Gedang III RT.07/RW.07, Maleer",-6.927169500000001,107.6411246,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolahku,"3JFR+6JW, Gang Kebon Gedang 2, Maleer",-6.926880099999999,107.6415868,OPERATIONAL,3,1,"primary_school, school, point_of_interest, establishment",
TK Aisyiyah 8 & KB Tunas Harapan,"Gang Kebon Gedang 2 No.26, Maleer",-6.926841999999999,107.64159,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Kebon Gedang 10,"Jalan Kebon Gedang No.82, Maleer",-6.927960000000001,107.6414077,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
Pakde Mis,"Jalan Kebon Gedang No.84, Maleer",-6.9282505,107.6412482,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
SMP Negri 62 Bandung,"Jalan Kebon Gedang No.82, Maleer",-6.927977499999999,107.6414868,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
Tk Yayasan Beribu,"Jalan Kebon Gedang No.59, Maleer",-6.9272422,107.6418566,OPERATIONAL,4,1,"school, point_of_interest, establishment",
TK Grantika Bondang,"Jalan Kebon Gedang No.59, Kebon Gedang",-6.9272422,107.6418566,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SDN 063 Kebon Gedang,"3JCR+QJR, Maleer",-6.9280131,107.6415224,OPERATIONAL,4.4,50,"primary_school, school, point_of_interest, establishment",
LKP Bashiroh,"Gang IX No.256, RT.01/RW.07, Maleer",-6.928688999999999,107.6412904,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kelompok Bermain Az Zahwa,"Jalan Maleer V No.120, Maleer",-6.9293589,107.6394622,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
