name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Mirai College Indonesia,"Jalan Merkuri Utara XI No.12, Manjahlega",-6.944918,107.667749,OPERATIONAL,5,110,"school, university, point_of_interest, establishment",
KB TK Albiruni Cerdas Mulia,"Jalan Venus Barat IX No.8, Manjahlega",-6.940750299999999,107.6648653,OPERATIONAL,5,3,"school, point_of_interest, establishment",
STARS INDONESIA ACADEMY,"Jalan Rancabolang No.241, Sekejati",-6.9524243,107.6622398,OPERATIONAL,5,7,"school, point_of_interest, establishment",
PG-TK-SD Binar Indonesia,"Belakang Pondok Ranbo, Jalan Rancabolang No.241, Manjahlega",-6.952231599999999,107.6617879,OPERATIONAL,4.3,63,"school, point_of_interest, establishment",
TK TAHFIDZ SAHAL (TKTQ SAHAL),"Jalan Merkuri Selatan VII Komplek Margahayu Raya No.1, Manjahlega",-6.9479211,107.668208,OPERATIONAL,5,8,"school, point_of_interest, establishment",
Kursus Baca CANTOL ROUDHOH,"Jalan Merkuri Selatan VII No.8, Manjahlega",-6.9472695,107.6684906,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
TK Dewi Kania,"Jalan Mars Selatan No.35, Manjahlega",-6.947467899999999,107.6649908,OPERATIONAL,4,4,"school, point_of_interest, establishment",
KUTTAB LABIB,"Jalan Mars Raya No.16, Manjahlega",-6.945608699999999,107.6654221,OPERATIONAL,5,6,"primary_school, school, point_of_interest, establishment",
Kursus Bahasa Korea Di Bandung,"Perum Margahayu Raya, Jalan Merkuri Utara XI No.12 Blok W, Manjahlega",-6.9448858,107.6675395,OPERATIONAL,5,9,"school, point_of_interest, establishment",
POS PAUD MEKAR JAYA RW 12,"Jalan Manjahlega No.9, Manjahlega",-6.949508799999999,107.6672331,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK Amaliah,"Jalan Saturnus Utara No.8, Manjahlega",-6.949630099999999,107.6660143,OPERATIONAL,5,5,"school, point_of_interest, establishment",
IMA Cabang Margahayu Raya Bandung,Jalan Merkuri Tengah No.37,-6.945350299999999,107.6695113,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Cerdas Ceria Bilingual School 1,"Jalan Merkuri Utara V No.6, Manjahlega",-6.9439009,107.6677429,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
LADIES EVELYN,Jalan Mars Barat II No.5,-6.946259,107.6634998,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK INSAN KAMIL,"Jalan Mars Tengah II No.7, Manjahlega",-6.945070899999999,107.6639268,OPERATIONAL,5,23,"school, point_of_interest, establishment",
