name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
PAUD JASMIN,"Cibolerang Blok. K 63A Kel, Margahayu Utara",-6.9462758,107.5750135,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Taman Penitipan Anak BANI SHALEH,"Jalan Caringin Komplek Cibolerang Belakang C No.12/172A, Margahayu Utara",-6.947517200000001,107.5762892,OPERATIONAL,5,22,"school, point_of_interest, establishment",
Madrasah Darul Mukhlisin,"3H2G+46M, Kp. Babakan, RT.02/RW.06, Sukajaya",-6.949674399999999,107.5755544,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
T.K EFATA,"a3 Jalan Mawar No.9, Margahayu Utara",-6.947756399999999,107.5782572,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TK Hizrah,"Jalan Cibolerang No.220, Margahayu Utara",-6.950766100000001,107.575483,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Jauharul Insiyyah,"Komplek Cibolerang F-60, Jalan Satria Raya, Margahayu Utara",-6.948001499999999,107.5733679,OPERATIONAL,4.8,10,"school, point_of_interest, establishment",
MDTA DARUL ILMI,"3H2F+R88, North Margahayu",-6.947967800000001,107.5733392,OPERATIONAL,4.8,4,"school, point_of_interest, establishment",
GATE Language Assistant,Jalan Satria Raya No.L2,-6.946622199999999,107.5737131,OPERATIONAL,5,18,"school, point_of_interest, establishment",
Work,"4, No, Jalan Satria Raya No.5, Margahayu Utara",-6.946388,107.5737,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Annisa,"4 No, Jalan Satria Raya No.5, Margahayu Utara",-6.946388,107.5737,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren Khozaanaturrohmah,"Jalan Cibolerang No.108D, RT.02/RW.06, Margahayu Utara",-6.9511594,107.5774417,OPERATIONAL,4.7,22,"school, point_of_interest, establishment",
PAUD - Kober Bina Bakti,"Jalan Cibuntu Selatan No.7, Margahayu Utara",-6.9462401,107.5736721,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
YAYASAN AL-I'TISHOOM PUSAT,"Jalan Cibolerang No.108A, Margasuka",-6.951448300000001,107.577373,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Komp pasadena,"Kompleks Pasadena Rukan, Jalan Amarilis No.r3 no 1, Margahayu Utara",-6.945753099999999,107.5787355,OPERATIONAL,3,2,"school, point_of_interest, establishment",
SDN 236 Babakan Ciparay,"Gang Lumbung 3 No.50, Babakan Ciparay",-6.945868799999999,107.5789664,OPERATIONAL,4.6,10,"school, point_of_interest, establishment",
Zaen Al Fatih (Ma'had),"Pasadena Residence, Akasia No.B6 36, Margahayu Utara",-6.948252199999999,107.5799064,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Gista,"2HXH+98F, Jalan Cibolerang, Margasuka",-6.9515692,107.578294,OPERATIONAL,5,1,"school, point_of_interest, establishment",
PAUD AL-WASI'AH,"Gang Lumbung 2 No.RT.03/03, Margahayu Utara",-6.9472916,107.5802052,OPERATIONAL,5,2,"school, point_of_interest, establishment",
