name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK Beyna Ceria,"Komplek panghegar permai, Jalan Pamekar Timur III No.12, Mekar Mulya",-6.9286822,107.7002146,OPERATIONAL,4.2,6,"school, point_of_interest, establishment",
Arolin Islamic Montessori Preschool,Jalan Pamekar Timur X No.2,-6.9298905,107.6994951,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PKBM Global Tahfidz,"Jalan Pamekar Raya No.97, Mekar Mulya",-6.9310515,107.6986859,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Sps mekar indah 2,"Jalan Pamekar Raya No.114, RT.02/RW.04",-6.931611800000001,107.6982451,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Bina Muda Islami Bandung,"Jalan Tulip Mekar III No.2, Mekar Mulya",-6.930059,107.6984631,OPERATIONAL,2,2,"school, point_of_interest, establishment",
Public Primary School 271 Panghegar,"3MCX+357, Jalan Pamekar Barat V, Mekar Mulya",-6.9298327,107.6979112,OPERATIONAL,5,12,"primary_school, school, point_of_interest, establishment",
TK Valda,"JL Pamekar Timur 2, No. 35, Panghegar Permai, Ujung Berung, Mekar Mulya",-6.928844199999999,107.7010108,OPERATIONAL,4.5,4,"school, point_of_interest, establishment",
sekolah Rumah Al Qur'an Panghegar,"Jalan Pamekar Barat I No.10, Mekar Mulya",-6.928247799999999,107.6995874,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Al Muhajirin,"JL Pamekar Barat, No. 16 RT 02/04, Mekar Mulya",-6.9281942,107.7001327,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Al Mabrur,"Jalan Raya Rancaekek No.34, Mekar Mulya",-6.9281938,107.7001278,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Sakola Boemi,"3MCX+MGC, Jalan Aster Mekar I, Mekar Mulya",-6.9283456,107.6987423,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Aerobic,"Jalan Mekar Asri No.24, Mekar Mulya",-6.9279683,107.7010399,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok pesantren Rumah Al-Qur'an,"Jalan Teratai Mekar No.1, Mekar Mulya",-6.9272877,107.6992259,OPERATIONAL,3.8,6,"school, point_of_interest, establishment",
Paud Esa Ceria,"Jalan Mekar Indah No.5, Mekar Mulya",-6.926399900000001,107.7007947,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Rei,"3MFX+MMC, Mekar Mulya",-6.925814399999999,107.699152,OPERATIONAL,2,1,"school, point_of_interest, establishment",
GEC PAMEKAR RAYA,"HEAD OFFICE, Jalan Pamekar Raya No.26, Mekar Mulya",-6.925309699999999,107.7004299,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
SSB KEWALRAM,"Panghegar Permai, Jalan Mekar Sari, Mekar Mulya",-6.924720399999999,107.7006601,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Bandung,3PG2+C5G,-6.923926199999999,107.7004643,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Perempatan Panghegar,"3PG2+C5P, Jalan Panghegar, Cipadung Kulon",-6.923918999999999,107.7004636,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
PAUD/TK Al-Amanah School Bandung,"Jalan Mekar Mulya No.2, Mekar Mulya",-6.924038899999998,107.697936,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
