name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMP Bintang Mulia,"Jalan RD Rangga Kencana No.1, Mekarwangi",-6.954396000000001,107.6018257,OPERATIONAL,4.3,67,"school, point_of_interest, establishment",
Sekolah Tinggi Teologi Kharisma,"Jalan Mekar Laksana No.8, Mekarwangi",-6.9533972,107.6043654,OPERATIONAL,4.9,27,"university, school, point_of_interest, establishment",
BPK Penabur Christian School • Singgasana - Bandung,"Permukiman Singgasana Pradana, Jalan Indra Prahasta Timur No.2, Mekarwangi",-6.953746300000001,107.5990821,OPERATIONAL,4.5,52,"school, point_of_interest, establishment",
Starbright Family Learning Centre,"Jalan Mekar Agung No.11, Mekarwangi",-6.955054899999999,107.6038276,OPERATIONAL,4.7,19,"school, point_of_interest, establishment",
Yayasan Bina Insan Mulia,"Kompleks Istana Jalan RD Rangga Kencana No.1, Mekarwangi",-6.955824099999999,107.6057577,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Roar Vocal Course Indonesia,"Jalan Mekar Murni No.12, Mekarwangi",-6.9566459,107.6044928,OPERATIONAL,5,18,"school, point_of_interest, establishment",
Twiggs Education,"Food Junction, Jalan Mekar Utama No.112 B Lt. 2E, Mekarwangi",-6.953694899999999,107.6062822,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TKQ AMIRA,"2JV3+2R5, Jalan Anggacarang, Mekarwangi",-6.9574898,107.6046009,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Robotics Education Center Bandung,"komplek graha Jalan Mekar Utama No.87, Mekarwangi",-6.9530227,107.6058333,OPERATIONAL,4,4,"school, point_of_interest, establishment",
SMP SMA BINTANG MULIA PINTU BELAKANG,"2JV2+WRX, Bandung, Mekarwangi",-6.9551282,107.6020966,OPERATIONAL,5,3,"secondary_school, school, point_of_interest, establishment",
SMA HARAPAN KASIH - Bandung,"Jalan RD Rangga Kencana No.2A, Mekarwangi",-6.952787499999999,107.6034031,OPERATIONAL,4.1,35,"school, point_of_interest, establishment",
TK Harapan Kasih,"Jalan RD Rangga Kencana No.2A, Mekarwangi",-6.952584499999999,107.6034138,OPERATIONAL,4.3,259,"school, point_of_interest, establishment",
SD Bintang Mulia,"Jalan RD Rangga Kencana No.1, Mekarwangi",-6.953559300000001,107.6020932,OPERATIONAL,3.9,7,"primary_school, school, point_of_interest, establishment",
biMBA - AIUEO - Mekarwangi - Calistung Plus usia 3-6thn,"Jalan RD Rangga Kencana No.18, Mekarwangi",-6.952735699999999,107.6014874,OPERATIONAL,4.8,4,"school, point_of_interest, establishment",
MIS AL-Gozali Bandung,"Jalan Mekar Sejahtera No.40A, Mekarwangi",-6.951244899999999,107.6049682,OPERATIONAL,2.6,5,"school, point_of_interest, establishment",
Tp aster permata bunda buluh,"Jalan Taman Mekar Agung III No.25, Mekarwangi",-6.9565892,107.6085185,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD Budi Sastra,"Gang Warna Cinta No.98, RT. 001/003, Mekarwangi",-6.9542707,107.6002852,OPERATIONAL,4.6,25,"primary_school, school, point_of_interest, establishment",
MDTA Annugrah,"2JW2+J3W, Bandung, Mekarwangi",-6.953381900000001,107.6002117,OPERATIONAL,5,5,"school, point_of_interest, establishment",
