name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SD Tunas Insan Mulia,"Jalan Baturaden III No.4, Mekarjaya",-6.9629691,107.6678817,OPERATIONAL,4.5,13,"primary_school, point_of_interest, school, establishment",
Senior High School 25 Bandung,Jalan Baturaden VIII No.21,-6.966169499999999,107.6654954,OPERATIONAL,4.4,144,"secondary_school, point_of_interest, school, establishment",
Paud Plus Sakinah,"Jalan Baturaden IV No.11, Mekarjaya",-6.963571099999999,107.6681688,OPERATIONAL,5,1,"point_of_interest, school, establishment",
SPS Nurul Huda,"2MP9+86R, Jalan Empang, Margasari",-6.964133699999999,107.6680081,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
TK SUKAMULYA,Indonesia,-6.9619879,107.6711376,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Belajar METALOGIKA 2,"Jalan Baturaden V No.2, Mekarjaya",-6.9647437,107.6677828,OPERATIONAL,5,1,"school, point_of_interest, establishment",
RA/BA/TA Bina ilmu Anak Soleh,"Jalan Baturaden Raya No.27, Mekarjaya",-6.963360499999999,107.6669005,OPERATIONAL,4.6,9,"point_of_interest, school, establishment",
DAYCARE & BABY HOUSE BINA ILMU,"Jalan Baturaden Raya No.18, Mekarjaya",-6.9627843,107.6667523,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
House Of Edwin,"2MPC+WRV, Mekarjaya",-6.962644,107.6720444,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
SSB UNI (Uitspaning Na Inspanning),"⛉ Jalan Baturaden Raya No.28, Jalan Baturaden Raya No.22, Mekarjaya",-6.9631015,107.6664156,OPERATIONAL,4.3,112,"school, point_of_interest, establishment",
SLB - BC Ar Rahman,"JL. Terusan GBI, No. 126, RT. 04 RW. 05, Bodogol, Mekarjaya, Buahbatu, Mekarjaya",-6.9647056,107.6725803,OPERATIONAL,5,1,"school, point_of_interest, establishment",
