name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Pondok Pesantren tahAffudzul Quran,"2JRJ+543, Desa astana langgar,Blok mengger, RT.01/RW.08, Losari",-6.959624699999999,107.630306,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Joy after school and patisserie,"Kompleks Batununggal Indah, Jalan Batununggal Abadi IV No.5, Mengger",-6.962515499999999,107.6282744,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Dolphin Swimming Club Bandung,"2JPG+XV8, Jalan Batununggal Indah IV, Mengger",-6.9625967,107.627191,OPERATIONAL,5,2,"school, health, point_of_interest, establishment",
Boboy home,"Jalan Batununggal Mulia Ⅺ No.1, Mengger",-6.9626734,107.6307254,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Velz Piano Studio,Jalan Batununggal Sentosa No.6,-6.959512300000001,107.625347,OPERATIONAL,Unknown,Unknown,"store, school, point_of_interest, establishment",
rsik cleaning service,"2JQF+CV9, Jalan Batununggal Indah II, Mengger",-6.9614508,107.6247482,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
IMA Batununggal,"Jalan Batununggal Mulia Raya No.61, Mengger",-6.962546199999999,107.6329314,OPERATIONAL,5,2,"school, point_of_interest, establishment",
SPS Pos PAUD Nusa Indah I,"Jalan Mengger Tengah No.58, Mengger",-6.961418,107.6230581,OPERATIONAL,5,1,"school, point_of_interest, establishment",
St Aloysius Elementary School,"Jalan Batununggal Indah II No.30, Mengger",-6.957120699999999,107.6234848,OPERATIONAL,4.1,31,"primary_school, school, point_of_interest, establishment",
SDN 266 MENGGER,JL. TERUSAN SUKAATI No.21,-6.9595898,107.621999,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
SMP Santo Aloysius Batununggal,"2JVF+F67, Mengger",-6.9563304,107.6230598,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SPS Pos PAUD Puspa Indah,"Jalan Terusan Batu Nunggal No.I, Mengger",-6.9628663,107.6355302,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Awan's Shop,"Jalan Babakan Karees No.RT 05/04, Mengger",-6.9638364,107.6354996,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
