name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Bimbingan Dan Konsultasi Belajar Nurul Fikri - Sumbawa,Jalan Sumbawa No.20 A,-6.9133401,107.6173266,OPERATIONAL,5,27,"school, point_of_interest, establishment",
Kartika High School XIX-3,"Jalan Aceh No.108 (Blk), Merdeka",-6.9108291,107.6251157,OPERATIONAL,4.7,31,"point_of_interest, school, establishment",
SMAN 5 Bandung,"Jalan Belitung No.8, Merdeka",-6.912172699999999,107.6153998,OPERATIONAL,4.7,431,"secondary_school, point_of_interest, school, establishment",
Bandung Junior High School 5,"Jalan Sumatera No.40, Merdeka",-6.9148057,107.61427,OPERATIONAL,4.5,161,"point_of_interest, school, establishment",
State Junior High School 2 Bandung,"Jalan Sumatera No.42, Merdeka",-6.9138923,107.6138493,OPERATIONAL,4.6,233,"point_of_interest, school, establishment",
Ade Irma Suryani Nasution Traffic Garden,"Jalan Belitung No.1, Merdeka",-6.911211,107.6133389,OPERATIONAL,4.4,13194,"amusement_park, tourist_attraction, park, point_of_interest, school, establishment",
PKBM SILIWANGI 2 BANDUNG,"Jalan Patrakomala No.63, Merdeka",-6.912190100000001,107.6214795,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Patrakomala,"Jalan Patrakomala No.63, Merdeka",-6.911943,107.621582,OPERATIONAL,4.4,28,"primary_school, point_of_interest, school, establishment",
Budhi Dharma Bhakti,"3JP9+MJ8, Jalan Vijaya Kusumah, Merdeka",-6.9133305,107.6190782,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD Kartika Siliwangi I,"Jalan Bangka No.3, Merdeka",-6.912875199999999,107.6187233,OPERATIONAL,4.8,12,"primary_school, point_of_interest, school, establishment",
