name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Islamic Integrated Middle School of Al - Irsyad Al - Islamiyyah,"Jalan Cikutra No.205A, Neglasari",-6.8937744,107.6393808,OPERATIONAL,4.7,100,"primary_school, point_of_interest, school, establishment",
Bimbel dan Private Edumaster,"no Jalan Cikutra Baru IV No.10, Neglasari",-6.8957631,107.6395249,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
State Junior High School 16 Bandung,"4J2V+53G, Jalan Khp Hasan Mustopa No.53, Neglasari",-6.899573800000001,107.6423129,OPERATIONAL,4.5,123,"point_of_interest, school, establishment",
BARUDAK ZALFAA,"Jalan Cikutra Baru Raya No.9-21, Neglasari",-6.8946216,107.6380732,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
SMAIT AL IRSYAD AL ISLAMIYAH KOTA BANDUNG,"Jalan Cikutra No.205, Neglasari",-6.893859599999999,107.6395525,OPERATIONAL,5,2,"point_of_interest, school, establishment",
Gedung Boarding School Bilingual,"4J4Q+243, Neglasari",-6.8949797,107.6378094,OPERATIONAL,4,1,"point_of_interest, school, establishment",
PG TK Pribadi Bandung,"Jalan Cikutra Baru No.4, Neglasari",-6.8957146,107.6382118,OPERATIONAL,5,3,"point_of_interest, school, establishment",
Bumi Putih by Tony Putih,Jalan Cikutra Baru V No.07,-6.8958155,107.6397137,OPERATIONAL,5,1,"art_gallery, health, point_of_interest, school, establishment",
RA MIFTAHUL JANNAH,"Babakan, Jalan Cikutra No.44, Neglasari",-6.892639399999998,107.6392349,OPERATIONAL,5,1,"point_of_interest, school, establishment",
SDN 025 Cikutra,"Jalan Cikutra No.326, Neglasari",-6.893417299999999,107.6372059,OPERATIONAL,4.7,19,"primary_school, point_of_interest, school, establishment",
Elementary School Cikutra 2,"Jalan Cikutra No.326, Neglasari",-6.893451,107.6369907,OPERATIONAL,4.6,30,"primary_school, point_of_interest, school, establishment",
PAUD DAHLIA,"Jalan Cikutra No.3, Neglasari",-6.8926092,107.6402758,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
CLC CIKUTRA BANDUNG,"Jalan Cikutra Baru X No.8, Neglasari",-6.896929300000001,107.6382269,OPERATIONAL,4.8,11,"university, point_of_interest, school, establishment",
Gedung 3 ITENAS,"4J3Q+526, Neglasari",-6.897079400000001,107.6375168,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
