name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SD Negeri Jalan Anyar,"Jalan A. Yani No.869, RW.04, Padasuka",-6.9027475,107.6527789,OPERATIONAL,4.4,20,"primary_school, point_of_interest, school, establishment",
Cimuncang Public Elementary School 043,"Jalan Bbk. H. Tamim No.33, Padasuka",-6.9040189,107.6478142,OPERATIONAL,4.2,48,"primary_school, point_of_interest, school, establishment",
Sekolah Dasar Negeri Cimuncang 5,"Jalan Babakan H. Tamim No.33, Padasuka",-6.9032623,107.6478676,OPERATIONAL,3.8,6,"primary_school, point_of_interest, school, establishment",
Majelis Fathul Jannah,"3JWX+73J, Jalan Bbk. H. Tamim, Padasuka",-6.9042936,107.6476285,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TK ANDIKA,"Jalan Neglasari Selatan No.37, Padasuka",-6.903263399999999,107.6472301,OPERATIONAL,5,1,"primary_school, point_of_interest, school, establishment",
SMPN 61 KOTA BANDUNG,"Jalan Sukasirna, Padasuka",-6.9030217,107.6479992,OPERATIONAL,4.2,12,"point_of_interest, school, establishment",
Les music Gitar Klasik Acoustic Fingerstyle,"Jalan Bbk. H. Tamim No.26, RT.06/RW.05, Padasuka",-6.904979699999999,107.6477133,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Rumah nadya,"Gg.kopling No.30, RT.02/RW.05, Padasuka",-6.9049399,107.648249,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Majelis Ta'lim Salafiyah At-Taqwa,Padasuka,-6.9033852,107.6461975,OPERATIONAL,5,2,"point_of_interest, school, establishment",
AdheJoe home Studio,Padasuka,-6.905204800000001,107.6485105,OPERATIONAL,1,1,"point_of_interest, school, establishment",
Bimbel bbi,"Jalan Bbk. H. Tamim No.12, Padasuka",-6.9049802,107.6464426,OPERATIONAL,5,4,"school, point_of_interest, establishment",
TK Aisyiyah 14,"3JVW+MX6, Jalan Bbk. H. Tamim, Padasuka",-6.905836600000001,107.6474055,OPERATIONAL,5,3,"school, point_of_interest, establishment",
TKQ-TPQ AR-RAHMAH,"Jalan Cikutra Sekepondok 3 No.37, RT.05/RW.11",-6.9033985,107.6452129,OPERATIONAL,5,42,"point_of_interest, school, establishment",
SLB-C KARYA BHAKTI,"3JWW+C36, Jalan Sepondok III, Padasuka",-6.903957600000001,107.6451389,OPERATIONAL,5,3,"school, point_of_interest, establishment",
