name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Senior High School 24 Bandung,"Jalan AH. Nasution No.27, Pasir Endah",-6.908395000000001,107.6885919,OPERATIONAL,4.7,246,"secondary_school, school, point_of_interest, establishment",
Anggi_paytren5.17,"Jalan Terusan Sukup Baru I, Pasir Endah",-6.910507600000001,107.6914338,OPERATIONAL,4.7,46,"primary_school, university, real_estate_agency, school, point_of_interest, establishment",
TK Mutiara,"3MWR+46G, Jalan Simpay Asih, Pasir Endah",-6.9046959,107.6905736,OPERATIONAL,5,4,"school, point_of_interest, establishment",
biMBA AIUEO unit Pasir Endah Cijambe,"Komplek, Jalan Simpay Asih Jalan Mayang Asih No.9a, Pasir Endah",-6.9050026,107.6906595,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Sekolahan Mutiara,"3MWR+J9M, Jalan Kosar, Pasir Endah",-6.903408999999999,107.6909268,OPERATIONAL,3,2,"school, point_of_interest, establishment",
PKBM BADAMI,"Jalan Simpay Asih No.27 A, Pasir Endah",-6.9056498,107.690522,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SLB-YRBB,"Jalan Kosar No.147, Pasir Endah",-6.903264,107.6909851,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
"Kurvaprivat.com Tempat Les Privat Kursus Les SD , SMP , SMA BANDUNG","ALAMAT, Jalan Taruna Baru III No.80, Pasir Endah",-6.9042125,107.6883159,OPERATIONAL,3,2,"school, point_of_interest, establishment",
Cigending kp sindang singkur,3MVR+GCX,-6.9061499,107.6911063,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
LPK Sakura Mandiri Indonesia,"Jalan Kosar Kel No.47, Pasir Endah",-6.902524800000001,107.6912669,OPERATIONAL,4.6,14,"university, school, point_of_interest, establishment",
Gemilang Islamic School,"Jalan Cijambe Belakang No.39, Pasir Endah",-6.9065255,107.6908028,OPERATIONAL,5,101,"school, point_of_interest, establishment",
rainbow kids ujung berung,"3MWV+269, Jalan Vijayakusuma XVII, Pasir Endah",-6.9049599,107.6930969,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Majelis Pangaosan & Silaturrahim “Khomsatun wa ‘Isyruun”,"Jalan Ters. Taruna II No.2, Pasir Endah",-6.905569499999999,107.6875336,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kober Bintang,"Jalan Cijambe No.52, RT.03/RW.06, Pasir Endah",-6.9068672,107.691955,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMA Karya Pembangunan 2 Kota Bandung,"Jalan AH. Nasution No.25A, Pasir Endah",-6.9074035,107.6884057,OPERATIONAL,4.3,27,"secondary_school, school, point_of_interest, establishment",
PKBM Aldyka Putra,"Jalan Taruna Raya No.6B, RT.01/RW.02",-6.905616299999999,107.6867014,OPERATIONAL,5,2,"school, point_of_interest, establishment",
