name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Gumbira Swim,"Jl. Arcamanik Bihbul No.80, Sindanglaya",-6.893690899999999,107.6834645,OPERATIONAL,4.9,8,"school, point_of_interest, establishment",
SDQu,"3MWH+4F8, Karang Pamulang",-6.9047206,107.6786875,OPERATIONAL,4,8,"point_of_interest, school, establishment",
KOBER NURUL JANNAH,Pasir Impun,-6.898199099999999,107.6801975,OPERATIONAL,5,2,"school, point_of_interest, establishment",
rumah M. Anwar Fuadi,"Gang Cempaka Putih No.133, RT.05/RW.07, Pasir Impun",-6.8985527,107.6792469,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SEKOBER ISLAMIC MONTESSORI SCHOOL,"4M2H+F49, Jalan Pasir Impun, Karang Pamulang",-6.898835800000001,107.6778707,OPERATIONAL,5,7,"point_of_interest, school, establishment",
Sekolah Menengah Pertama Negeri 53 Bandung,"Jalan Arcamanik No.11, Pasir Impun",-6.899269299999999,107.6809289,OPERATIONAL,4.6,45,"point_of_interest, school, establishment",
TAAM/TKA/DTA Al Fathonah,"Jalan Arcamanik No.02, RT.02/RW.8, Sindang Jaya",-6.896611500000001,107.6819185,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
TK Al-IKHLAS,"4M3G+8JW, Jalan Pasir Impun, Pasir Impun",-6.896645499999999,107.6765686,OPERATIONAL,5,4,"primary_school, point_of_interest, school, establishment",
Tunas Unggul Elementary School,"Jalan Pasir Impun No.94, Pasir Impun",-6.894472400000001,107.6788532,OPERATIONAL,4.5,82,"primary_school, point_of_interest, school, establishment",
Tunas Unggul JHS,"Jalan Pasir Impun No.94, Pasir Impun",-6.8942126,107.6784397,OPERATIONAL,4.5,31,"point_of_interest, school, establishment",
wadayana,"Jalan Pasir Impun No.3A, Karang Pamulang",-6.8961787,107.6762244,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Playgroup Tunas Unggul,"Jalan Pasir Impun No.94, Pasir Impun",-6.894310399999999,107.6777905,OPERATIONAL,4.9,7,"point_of_interest, school, establishment",
KB BUMANTARA,"4M4H+FW6, Jalan H. Umar V RT.04/RW.04, Pasir Impun",-6.8938485,107.679772,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TKQ-MDTA Darul Ihsan,"3MXH+C9W, Pasir Impun",-6.901398400000001,107.678452,OPERATIONAL,5,1,"school, point_of_interest, establishment",
aip wiradz band,Jalan Pasir Impun No.11,-6.893232999999999,107.678007,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
