name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK KARTINA,"3PX4+VHM, Jalan Palintang, Pasirwangi",-6.900277099999999,107.7064064,CLOSED_TEMPORARILY,Unknown,Unknown,"school, point_of_interest, establishment",
SMP-SMA Islam (MTs-MA) YASIPA Kota Bandung,"4P24+HX3, Sekeburuy Pasirwangi Ujungberung, Pasirwangi",-6.8986138,107.7074169,OPERATIONAL,4.5,41,"school, point_of_interest, establishment",
Smp N 2 Kadipaten,"Jalan Cinangka No.02, Pasirwangi",-6.899723000000001,107.7047006,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren Bani Syaibah,"Jalan Palintang No.26, Pasirwangi",-6.900069399999999,107.7077756,OPERATIONAL,4.7,16,"school, point_of_interest, establishment",
Pesantren Darunajah-Alislamyah,"3PX3+WV6, Jalan Cinangka, Pasirwangi",-6.900208099999999,107.7046266,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
R.A.Ananda,Indonesia,-6.901161099999999,107.706637,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SD. Islam Terpadu BANI SYAIBAH,"3PX5+X89, Pasirwangi",-6.9001436,107.7081857,OPERATIONAL,4.3,6,"primary_school, school, point_of_interest, establishment",
Aa-Asep,"3PX4+FX9, Jalan Winaya Raya, Pasirwangi",-6.901341599999999,107.707496,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK RODIMAN,Indonesia,-6.901767200000001,107.7050614,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Ekaliana,"Jalan Budiman Utama, Pasirwangi",-6.902312499999999,107.7060625,OPERATIONAL,5,2,"school, point_of_interest, establishment",
KB Lukmanul Hakim,"Komplek Griya Winaya B.11 No. 23, RT.04/RW.012, Pasirwangi",-6.902679999999999,107.7079062,OPERATIONAL,5,3,"school, point_of_interest, establishment",
TK IT AL ISTIQOMAH,"Jalan Melati Raya No.E22/17, Melatiwangi",-6.898183300000001,107.7024983,OPERATIONAL,5,1,"school, point_of_interest, establishment",
POS PAUD Nur Fallah,"Gang Babakan Batawi 4, Pasirwangi",-6.895513100000001,107.7055644,OPERATIONAL,5,6,"school, point_of_interest, establishment",
Ahe Prisma Ujungberung (Rumah Belajar Gapai Ilmu),"Jalan Cinangka No.59, RT.02/RW.05, Pasirwangi",-6.903110799999999,107.7047934,OPERATIONAL,5,5,"school, point_of_interest, establishment",
