name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SD Itqan Islamic School,"Jalan Padasuka No.160, RT.02/RW.03, Pasirlayung",-6.893438799999999,107.6575202,OPERATIONAL,4.8,165,"school, point_of_interest, establishment",
Pondok Pesantren Multazam MYS,"No. RT 004 RW 006, Jalan Padasuka No.88, Pasirlayung",-6.8967104,107.6550562,OPERATIONAL,4.9,15,"school, point_of_interest, establishment",
Baby Day Care,"JL Bungur Sari Raya, No. 12 RT 04 RW 05, Bumi Asri II Padasuka, Pasirlayung, Cibeunying Kidul, Pasirlayung",-6.8953268,107.6560783,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA Multazam,"4M44+776, Jalan Padasuka, Pasirlayung",-6.894331,107.655629,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Madrasah Tsanawiyah Multazam,"Gang Ciparungpung VII No.9, Pasirlayung",-6.894360799999999,107.6555791,OPERATIONAL,3.9,17,"school, point_of_interest, establishment",
TK itQan Islamic Preschool,"Komplek Yayasan Pendidikan itQan, Jalan Padasuka No.160",-6.893631699999998,107.6574418,OPERATIONAL,5,63,"school, point_of_interest, establishment",
"64th State Primary School, Padasuka","Jalan Padasuka No.88, Pasirlayung",-6.8964082,107.6552855,OPERATIONAL,4.3,40,"primary_school, school, point_of_interest, establishment",
SMP itQan Islamic School,"Jalan Padasuka No.160, Padasuka",-6.8932023,107.6574906,OPERATIONAL,5,109,"school, point_of_interest, establishment",
SMAN 20 BANDUNG,"Jalan Padasuka No.86, Pasirlayung",-6.8968172,107.655092,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Masjid dan Pesantren As-Sakinah,Pasirlayung,-6.897377299999999,107.6561156,OPERATIONAL,4.8,17,"school, point_of_interest, establishment",
TK ANNUR,"Jalan Padasuka No.178, Padasuka",-6.892569600000001,107.6577121,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
Ahe Bungursari 3,"Jalan Bungursari Ⅲ Gg.Kencana 2 No.10, RT.01/RW.05, Pasirlayung",-6.8949278,107.6538225,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDIT dan Saung AS Sakinah,"Jl. Babakan Cihapit, Pasirlayung",-6.897722099999999,107.6563206,OPERATIONAL,4,7,"primary_school, school, point_of_interest, establishment",
