name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Toko Yahya Piano 2nd,"Jalan Pasir Jaya X No.8, Pasirluyu",-6.9427217,107.6205159,OPERATIONAL,4.5,8,"store, point_of_interest, school, establishment",
sonnov tech,"Jalan Suka Ati No.1 no.5b, Mengger",-6.9512512,107.6212667,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Markas ghg × pgs,"2JX9+7QV, Gang Aki Suarma, Pasirluyu",-6.9517909,107.6194346,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Pintar Astra Nuurul Falaah,"RT. 06 RW. 08,, Jalan Mengger Girang, Pasirluyu",-6.952070799999999,107.6187805,OPERATIONAL,5,2,"school, point_of_interest, establishment",
POS PAUD DELIMA,"3J59+3JH, Gang Mesjid, Pasirluyu",-6.9423189,107.619095,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Madrasah Umarurrahim,"3J59+4MC, Pasirluyu",-6.942193700000001,107.6191393,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Kantor Swarantara,"2JXC+45W, Pasirluyu",-6.952127,107.6204079,OPERATIONAL,5,1,"point_of_interest, school, establishment",
SDN 167 Mengger Girang,"Jalan Mengger Girang III No.4, Pasirluyu",-6.9519838,107.6164977,OPERATIONAL,4.8,22,"primary_school, point_of_interest, school, establishment",
Madrasah Tsanawiyah / Sekolah Menengah Pertama Nur Rohmah,"Jalan Mengger Girang No.I No.39, Pasirluyu",-6.9515837,107.6158676,OPERATIONAL,4.8,4,"point_of_interest, school, establishment",
Lasy Education,"Jalan Pasir Jaya Timur No.22 Blok G, Pasirluyu",-6.942101600000001,107.6212246,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Ponpes Nur Rohmah,"Jalan Mengger Girang No.I No.39, Pasirluyu",-6.951618099999998,107.6158345,OPERATIONAL,4.3,15,"point_of_interest, school, establishment",
