name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
KB-TK ISLAM BINTANG CERIA,"JL.TERUSAN MULYA NO.15, TERS., Pasteur",-6.8912771,107.5993412,OPERATIONAL,5,1,"school, point_of_interest, establishment",
sungai cilimus,"4H5X+FPP, Pasteur",-6.8912772,107.5993416,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Klab Belajar ATELIER,"Jalan Sukamaju Dalam No.4, Pasteur",-6.8897746,107.5983633,OPERATIONAL,4.7,14,"school, point_of_interest, establishment",
TK Atelier,"Jalan Sukamaju Dalam No.26, Pasteur",-6.8895297,107.5985116,OPERATIONAL,5,1,"school, point_of_interest, establishment",
PAUD NUURUSSHOBAH Sukajadi,"Jalan Mukti No.402, RT.05/RW.11, Pasteur",-6.890390699999999,107.5980528,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PPA KAHEMAN,"Jalan Bakti No.33, Pasteur",-6.891960399999999,107.599661,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK YDB AL AZHAR,"Jalan Waspada No.16, Pasteur",-6.892188,107.5999324,OPERATIONAL,3.7,7,"school, point_of_interest, establishment",
PPM MINHAJUL HAQ (LDII),"Jalan Bijaksana II No.8, Pasteur",-6.8920391,107.5985725,OPERATIONAL,4.7,16,"school, point_of_interest, establishment",
Rumah Pelangi,"Gang Aki Nari No.643-181, Pasteur",-6.888495199999999,107.6003692,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SDN 076 SUKAJDI KOTA BANDUNG,"Jalan Sukajadi No.138, Pasteur",-6.889856699999999,107.5971283,OPERATIONAL,5,2,"school, point_of_interest, establishment",
