name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMP Ganesha Bandung,"Jalan Mochammad Toha No.84, Pelindung Hewan",-6.9390847,107.6059873,OPERATIONAL,4.2,22,"school, point_of_interest, establishment",
MTs Muhammadiyah Bandung,"Jalan Otto Iskandar Dinata No.77B/95, Pelindung Hewan",-6.936314299999998,107.6020009,OPERATIONAL,4.6,9,"school, point_of_interest, establishment",
RA AL ISHLAH,"Gang Perikanan 2 no 28, Pelindung Hewan",-6.939674900000001,107.6031311,OPERATIONAL,4,2,"school, point_of_interest, establishment",
Vendor baju senam yovis,Gang Perikanan 2 No.10,-6.9394792,107.6029928,OPERATIONAL,4.3,25,"school, point_of_interest, establishment",
SMA Negeri 11,"3J63+6P7, Jalan Pelindung Hewan, Pelindung Hewan",-6.9394617,107.6042876,OPERATIONAL,3,1,"secondary_school, school, point_of_interest, establishment",
TK Bhayangkari 42,"Jalan Pelindung Hewan No.20B, Pelindung Hewan",-6.9393064,107.6044638,OPERATIONAL,5,3,"school, point_of_interest, establishment",
SMK Prakarya Internasional (kampus 2),"Gang mesjid Darusallam No.145, Pelindung Hewan",-6.9412046,107.6043885,OPERATIONAL,4.7,6,"secondary_school, school, point_of_interest, establishment",
SDN 039 Tegallega,"Jalan Pelindung Hewan No.3, Pelindung Hewan",-6.937937300000001,107.6031413,OPERATIONAL,4.1,22,"primary_school, school, point_of_interest, establishment",
Kober Al-Fathu,"3J62+VWW, Pelindung Hewan",-6.937771,107.6023244,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD Bambim Baitul Muttaqien,"Jalan Muara Selatan I No.17, Pelindung Hewan",-6.9407241,107.6009325,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Ma'had Al Imarat,"Jalan Inhoftank No.17, Pelindung Hewan",-6.9426793,107.6028328,OPERATIONAL,4.7,86,"school, point_of_interest, establishment",
