name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Amanah Quran Putri,"Jalan Pinus X No.55, Rancabolang",-6.966722799999999,107.6972055,OPERATIONAL,4.3,6,"school, point_of_interest, establishment",
TK Tunas Unggulan,"Jalan Cemara E No.25, Rancabolang",-6.9626901,107.6918428,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDN 11 LAWANG KIDUL,"Aska Agung, Jalan Cemara B No.A RT. 25",-6.9636551,107.6923959,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Ruby preschool,"Summarecon Bandung, Ruko Ruby Commercial, Jalan Bulevar Utama Blok RC 12, Rancabolang",-6.960131199999999,107.694826,OPERATIONAL,4.9,13,"school, point_of_interest, establishment",
LKP PUSPA INDAH BANDUNG,"Jalan Cibiru Indah 7 No.7, Cibiru Wetan",-6.9624076,107.6959579,OPERATIONAL,3,4,"school, university, point_of_interest, establishment",
KB-TK CERDAS,"Jalan Cempaka IX No.41, Rancabolang",-6.965781599999999,107.6954976,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
Madrasah Hamalatil Quran,"Jalan Cempaka VIII Perum Bumi Adipura No.3, Rancabolang",-6.965195199999998,107.696747,OPERATIONAL,5,11,"school, point_of_interest, establishment",
"Dash Co-Laundry Space, Taco de Rey, Ajeeb","Jalan Adi Sedap Malam No.1, Adipura 2",-6.9623399,107.6883938,OPERATIONAL,5,13,"laundry, school, point_of_interest, establishment",
Madrasah Diniyah PERSIS Panyileukan,"JL Komplek Bumi Panyileukan, Blok G3 No. 9, Panyileukan, Rancabolang",-6.9642038,107.6876906,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Albiruni Adipura,"Bumi Adipura, Jalan Pinus VII No.18, Rancabolang",-6.965754300000001,107.6978677,OPERATIONAL,4.2,5,"school, point_of_interest, establishment",
SMK Muhammadiyah 3 Bandung,"Jalan Gedebage Selatan No.20, Rancabolang",-6.964193300000001,107.687119,OPERATIONAL,4.6,12,"school, point_of_interest, establishment",
Maria Studio,"Family Love Café, Ruko Summarecon, Jalan Magna Timur No.12",-6.957358,107.6889829,CLOSED_TEMPORARILY,4.8,10,"school, point_of_interest, establishment",
Madrasah Diniyah Ar Rohmah,"Jalan Gedebage Selatan No.235, Rancabolang",-6.959122499999999,107.6873453,OPERATIONAL,3,1,"school, point_of_interest, establishment",
