name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Senior High School 27 Bandung,"Jalan Utsman Bin Affan No.1, Rancanumpang",-6.958815299999999,107.7073143,OPERATIONAL,4.4,133,"secondary_school, school, point_of_interest, establishment",
SDN 274 Cempaka Arum,"Jalan Griya Cempaka Arum No.59 Blok C9, Cimenerang",-6.957639,107.7077265,OPERATIONAL,4.6,42,"primary_school, school, point_of_interest, establishment",
TK BUNDA FAMILY,"Jalan Ali Bin Abi Tholib No.40, Rancanumpang",-6.9590358,107.7099923,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Abu Bakar,Jalan Griya Cempaka Arum No.9 Blok K1,-6.961016600000001,107.7087256,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Baitul Qur'an Assyifaa,"Jalan Utsman Bin Affan Jalan Griya Cempaka Arum No.29 blok f1, Rancanumpang",-6.957891599999999,107.7096883,OPERATIONAL,5,6,"school, point_of_interest, establishment",
MI RA An-Najiyah,"Komplek, Jalan Griya Cempaka Arum Jalan Utsman Bin Affan No.90, Rancanumpang",-6.9580585,107.707787,OPERATIONAL,4.8,106,"school, point_of_interest, establishment",
VII A,"Jalan Utsman Bin Affan Jalan Griya Cempaka Arum No.90, Rancanumpang",-6.958282800000001,107.7073311,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUDQU RUMAH SAHABAT,"Jl. Griya Cempaka Arum B3 No.55, Rancanumpang",-6.9568638,107.7098486,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
RA - Thoyyibah,"JL Abu Hurairah, Jalan Cimincrang Komplek Cempaka Arum No.52 Blok 7, Rancanumpang",-6.956569899999999,107.7090378,OPERATIONAL,3.7,3,"school, point_of_interest, establishment",
SMP Negeri 54,"Jalan Rancanumpang, Rancanumpang",-6.958115800000001,107.7063299,OPERATIONAL,4,47,"school, point_of_interest, establishment",
TK Tiara Putri,"jl. Umar bin Khattab Blok Cendikia A4 no.2 komplek griya cempaka arum, Rancanumpang",-6.956659399999999,107.7077938,OPERATIONAL,4.5,6,"school, point_of_interest, establishment",
rumah muadz,"2PV5+Q37, Jalan Griya Cempaka Arum, Rancanumpang",-6.955595099999999,107.7076694,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Aula Al-Istiqomah,Indonesia,-6.9555788,107.7072921,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Elementary School Sondariah,"2PP4+257, Jalan Rancanumpang RT.01/RW.01, Rancanumpang",-6.964962,107.7054318,OPERATIONAL,4.7,11,"primary_school, school, point_of_interest, establishment",
