name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Madrasah Tsanawiyah Al-Inayah Kota Bandung,"Jalan Cijerokaso No.63, RT.07/RW.01, Sarijadi",-6.8710099,107.5786145,OPERATIONAL,4.7,89,"school, point_of_interest, establishment",
SMAN 15 Bandung,"Jalan Sarimanis No.1, Sarijadi",-6.878063000000001,107.5740638,OPERATIONAL,4.6,149,"secondary_school, school, point_of_interest, establishment",
Pasundan SMP 12 Bandung,"Jalan Sarirasa No.130, RT.04/RW.04, Sarijadi",-6.8797402,107.5789407,OPERATIONAL,3.8,21,"school, point_of_interest, establishment",
SMK Pasundan Bandung 5,"Jalan Sarirasa No.130, RW.04, Sarijadi",-6.8797402,107.5789407,OPERATIONAL,4,13,"school, point_of_interest, establishment",
Kancil Cendikia,"Jalan Perintis No.29, Sarijadi",-6.880862800000001,107.5779393,OPERATIONAL,5,10,"school, point_of_interest, establishment",
Islamic Primary School Al - Azhar 30,"Jalan Tirta Sari III No.1, Sarijadi",-6.876467,107.574705,OPERATIONAL,4.8,110,"primary_school, school, point_of_interest, establishment",
Universitas Mobile Legends,"4HFG+RMR, Jalan Sariasih, Sarijadi",-6.875378699999999,107.5766491,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
ODENKHOUSE,Sarijadi,-6.8764772,107.577786,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Elementary School Sarijadi 7,"Jalan Sarimanah No.19, RT.10/RW.01, Sarijadi",-6.8767292,107.5766708,OPERATIONAL,4.3,27,"primary_school, school, point_of_interest, establishment",
PAUD AL FALAH,"Jalan Sariasih III No.14, Sarijadi",-6.875688900000001,107.5758133,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Northern British Empire,"4HFH+9F3, Sarijadi",-6.8766173,107.5786715,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
ASTINA ART HOUSE,"Gang Sarimanah III No.103 Blok 6, RT.09/RW.03, Sarijadi",-6.8772448,107.5783926,OPERATIONAL,5,7,"school, point_of_interest, establishment",
LPK Kizuna Gakuin Indonesia,"Jalan Sarimanah 2 No.93, Sarijadi",-6.877458000000001,107.576289,OPERATIONAL,5,23,"school, point_of_interest, establishment",
WeGe Music,"Blok 2 No.119, Sarijadi",-6.8750087,107.5790049,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Harmony Handcraft,"Garasi Pak Aang, Kp. Rancamanyar Rt.02 / Rw.09, Jalan Sariasih II No.48, RT.06/RW.10",-6.873822700000001,107.5781338,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
