name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SHAFFANA DAY CARE PLUS,"Jalan Yupiter IV No.9, Sekejati",-6.945556400000001,107.659912,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Madrasah Muallimin Manbaul Huda,"Jalan Cijawura Girang IV No.16, Sekejati",-6.945246999999999,107.649751,OPERATIONAL,4.9,53,"school, point_of_interest, establishment",
MTS Manbaul Huda,"Jalan Cijawura Girang IV No.16, Sekejati",-6.9457735,107.6495298,OPERATIONAL,4.2,41,"school, point_of_interest, establishment",
PAUD JUPITER,"Jalan Jupiter Selatan I No.11, Sekejati",-6.948995500000001,107.6608477,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Tk Islam Al Muhajir,"Jl. Taman Yupiter Blok E II Margahayu, Jalan Yupiter Barat XII No.94 Blok E2, Sekejati",-6.943843399999999,107.6617172,OPERATIONAL,4.8,37,"school, point_of_interest, establishment",
SMK Bumi Siliwangi,"Jalan Rancabolang No.48B, Sekejati",-6.9469712,107.6624181,OPERATIONAL,4.6,114,"school, point_of_interest, establishment",
SMA Istiqamah Bandung,"Kompleks Puragabaya, Jalan Cijawura Girang No.14, Sekejati",-6.945409700000001,107.6469981,OPERATIONAL,4.8,46,"secondary_school, school, point_of_interest, establishment",
Putri,"Jalan Rancabolang Barat No.7-18, Sekejati",-6.9462258,107.6557974,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA Al- Amanah,"3M34+832, Jalan Neptunus Raya, Barat, Sekejati",-6.946738799999999,107.6551425,OPERATIONAL,4,5,"school, point_of_interest, establishment",
Bimbel Private SMART-ID,"3M24+QRF, Jalan Neptunus Tengah II, Sekejati",-6.948058899999999,107.6570386,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Lembaga Pelatihan Digital Marketing,"Jalan Jupiter Barat Blok 1 No.2 No. 43, Sekejati",-6.9452657,107.6580214,OPERATIONAL,5,5,"school, point_of_interest, establishment",
SDN 261 Margahayu Raya- Kota Bandung,"Jalan Jupiter Barat 23 No.92A, Sekejati",-6.945481999999999,107.658308,OPERATIONAL,4.7,76,"primary_school, school, point_of_interest, establishment",
TK/Kober Rumah Bintang Islamic Pre School,"Kompleks Al Islam, Jalan Radiology No.41, Sekejati",-6.9491176,107.655481,OPERATIONAL,5,6,"school, point_of_interest, establishment",
Rumah Tahfiz Al Quran Nizoomuddin Indonesia,"3M35+HFG, Sekejati",-6.946061799999999,107.6586895,OPERATIONAL,2,2,"school, point_of_interest, establishment",
TK Islam Taman Firdaus,"Jalan Neptunus Timur II No.54G, Sekejati",-6.9481169,107.6583828,OPERATIONAL,4.6,11,"school, point_of_interest, establishment",
Kb - tk ar - rabbani,"Jalan Cidurian Selatan No.179, Sekejati",-6.9439264,107.6520862,OPERATIONAL,5,2,"school, point_of_interest, establishment",
