name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Dadang Gusyana LEARNING CENTRE,"Jalan Sukaasih Raya No.25, Sindang Jaya",-6.903883999999999,107.686427,OPERATIONAL,5,2,"school, point_of_interest, establishment",
TPQ Baitussalam,Jalan Sukaasih Atas lll,-6.899756399999999,107.6845971,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SDN 231 SUKAASIH,"3MXP+M8M, Jalan Sukaasih Atas I, Sindang Jaya",-6.900782,107.6857962,OPERATIONAL,4.7,16,"primary_school, school, point_of_interest, establishment",
Bunga Bangsa,"Jalan Sindanglaya No.99, Sindang Jaya",-6.8989348,107.6826275,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Yayasan Wasilatul Falah,"Jl. Sindanglaya, Sekepeer RT 02/04 Kel. Sindangjaya 40195, Sindang Jaya",-6.898562900000001,107.683964,OPERATIONAL,5,16,"school, point_of_interest, establishment",
KB Sinar Kenanga,"4M2M+QFG, Sindang Jaya",-6.898073000000001,107.6837019,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kampoeng Belajar Swimming Club,"Jalan Sukaasih Raya RW.09, Sindang Jaya",-6.9037332,107.6838485,OPERATIONAL,4.6,487,"school, point_of_interest, establishment",
Les Renang Kampoeng Belajar - KBSC Bandung,"Kolam Renang Kampung Belajar, Gang Tagog 2 Sindangjaya Jalan Arcamanik",-6.903805699999999,107.683836,OPERATIONAL,5,166,"school, health, point_of_interest, establishment",
PAUD Al-Hikmah,"Jalan Sukaasih Raya Gang Tagog 2 Sindangjaya No.260, RT.05/RW.09, Sindang Jaya",-6.903812899999999,107.6844142,OPERATIONAL,4,3,"school, point_of_interest, establishment",
TK Ar - Rasyidah Bunda Heni,"Gg. Apan, Jalan Sukaasih IV No.76, Sindang Jaya",-6.903492499999999,107.6855187,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Taman Sari Bukit Bandung Blok 2 No 2 Kelurahan Sindangjaya Kecamatan Mandala jati Kota Bandung,"Blok2 No, Jalan Tamansari Bukit Bandung No.2, Sindang Jaya",-6.903832,107.6826001,OPERATIONAL,5,2,"secondary_school, school, point_of_interest, establishment",
TK Nurul Ummi,"4M2J+QQ4, Jalan Desa, Sindang Jaya",-6.898108700000001,107.6819657,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Tk Tunas Cilik,"Jalan Sukaasih III No.20, Sindang Jaya",-6.9036483,107.6863475,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Yayasan Rof'ud Darojah Ar-Raudha,"Jl.A.H Nasution, Komplek Taman Sari Bukit Bandung, Ruko No.1A, Sindangjaya, Mandalajati, Sindang Jaya",-6.9042482,107.6822371,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TB-TK ABATATSA DAARUL ULUM,"Jl. AH. Nasution No 187 A Perumahan Tamansari Bukit Bandung Blok 1E/ 4 Kelurahan Sindangjaya 40195, Pakemitan",-6.9038096,107.6811248,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
