name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SD Muhammadiyah 5/SMP Muhammadiyah 7,"Jalan Leuwi Panjang Gang Kebon Kelapa No.24, Situsaeur",-6.940204299999999,107.5955373,OPERATIONAL,4.5,40,"school, point_of_interest, establishment",
Pondok Pesantren Al Huda,"3H5W+RGF, Jalan Leuwipanjang, Situsaeur",-6.9404464,107.5962937,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Ruang Ilmu,"Gang Parasdi No.5 no. 34, Situsaeur",-6.9397731,107.5949579,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK AISYIYAH 13,"Jalan Leuwi Panjang Gang Kebon Kalapa No.DALAM, RT.11/RW.07, Situsaeur",-6.940126699999999,107.596483,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP MUHAMMADIYAH 7 BANDUNG,"Gang Kebon Kalapa, Situsaeur",-6.9400979,107.5967156,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PAUD KADEUDEUH,"Gang Bakti II No.21, Situsaeur",-6.9390101,107.5959184,OPERATIONAL,5,1,"school, point_of_interest, establishment",
TK NURUL JANNAH,"Jalan Leuwi Anyar V No.53 rt 03, Situsaeur",-6.9416313,107.5947081,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Islam Al Kaaffah,Situsaeur,-6.939566900000001,107.593836,OPERATIONAL,5,4,"school, point_of_interest, establishment",
MTs Nurul Huda Bandung,"7, Gang Parasdi No.1, Situsaeur",-6.937974800000001,107.5952738,OPERATIONAL,5,15,"school, point_of_interest, establishment",
Sekolah Bianglala,"Jalan Muara Baru No.14, Situsaeur",-6.939703199999999,107.5979097,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MIS AR ROJA,"Jalan Raya Kopo No.40 196 B, Situsaeur",-6.937800399999999,107.5958469,OPERATIONAL,5,1,"primary_school, school, point_of_interest, establishment",
Kober Firdaus Hambally,Jl Kopo Cetarip Timur 1 No 180 RT 01/05,-6.942459100000002,107.5934875,OPERATIONAL,5,1,"school, point_of_interest, establishment",
SDN 241 Leuwianyar Kota Bandung,"Gang Terusan Leuwianyar 7 No.10, Situsaeur",-6.9435946,107.5945584,OPERATIONAL,5,9,"school, point_of_interest, establishment",
