name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMP Negeri 24 Bandung,"Jalan Sukamulya No.33, Suka Asih",-6.936444400000001,107.5867471,OPERATIONAL,4.6,73,"school, point_of_interest, establishment",
After School Club,"3H8R+G5R, Jalan Peta Ruko Kopo Plaza A-3 Ph, Suka Asih",-6.933635,107.590387,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMAS Pahlawan Toha Bandung,"Jalan Peta Gang Sukamulya I No.RT. 001/009, Suka Asih",-6.9356689,107.5911233,OPERATIONAL,4.8,8,"secondary_school, school, point_of_interest, establishment",
Sekolah Menengah Atas Jendral Sudirman,"Jalan Babakan Tarogong No.119E, Suka Asih",-6.9325487,107.5920071,OPERATIONAL,4.5,2,"school, point_of_interest, establishment",
SD Negeri Gentra Masekdas,"Jalan Sukamulya No.29, Suka Asih",-6.9362792,107.5872155,OPERATIONAL,4.1,35,"primary_school, school, point_of_interest, establishment",
TRANSFORMASI CENTER BEST ACADEMY,Jalan Situ Gunting Timur Raya No.88 A,-6.9342649,107.5855673,OPERATIONAL,5,1,"school, point_of_interest, establishment",
MI Persis 29 Kota Bandung,"Jalan Babakan Tarogong No.83, Suka Asih",-6.934484700000001,107.5925596,OPERATIONAL,4.5,31,"school, point_of_interest, establishment",
SMP Jenderal Sudirman,"3H8V+R36, Suka Asih",-6.932954700000001,107.5926494,OPERATIONAL,4.4,7,"school, point_of_interest, establishment",
Elementary School Tanjung,"Jalan Babakan Tarogong No.193, Suka Asih",-6.929929599999999,107.5889055,OPERATIONAL,4.3,18,"primary_school, school, point_of_interest, establishment",
Al Hadi,"JL Babakan Tarogong, No. 41 RT. 01 RW. 04, Bojongloa Kaler, Suka Asih",-6.932886,107.592694,OPERATIONAL,1,1,"primary_school, school, point_of_interest, establishment",
