name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMA/SMK Puragabaya Bandung,"Jalan Haji Yasin No.59, Sukabungah",-6.895727399999999,107.5923445,OPERATIONAL,4.1,63,"school, point_of_interest, establishment",
Al Lathif Islamic International School,Jalan Cipedes Selatan No.85,-6.894842999999999,107.591209,OPERATIONAL,4.7,50,"school, point_of_interest, establishment",
aa,"4H3V+7Q8, Sukabungah",-6.8968402,107.5944506,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
Yayasan Mutiara Hati,"Gang Bangun Resik No.3, Sukabungah",-6.8968474,107.5936461,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK melati asri,"Jl. bangun resik 1 no 101, RT.05/RW.07, Sukabungah",-6.897208999999999,107.5942351,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Griya Pengantin LKP Yuyu,"no 4P, Asrama polisi sukagalih Jalan Sukagalih",-6.8942557,107.5939854,OPERATIONAL,4,4,"school, point_of_interest, establishment",
Tahfizh Anak Madani,"Jalan Haji Yasin No.29, Sukabungah",-6.8946878,107.593039,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Paud Tahfizh Pintar 1,"Jalan Haji Yasin No.29, Sukabungah",-6.894657500000001,107.5930041,OPERATIONAL,4.5,20,"school, university, point_of_interest, establishment",
Graha Sejahtera,"Jalan Haji Yasin No.36, Sukabungah",-6.8947468,107.592849,OPERATIONAL,5,1,"school, point_of_interest, establishment",
POS PAUD Bougenville,"Gang Eme No.Atas, Sukabungah",-6.894406499999999,107.5955279,OPERATIONAL,3.8,4,"school, point_of_interest, establishment",
