name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Rumah Belajar Semi Palar,"Jalan Sukamulya No.77-79, Sukagalih",-6.889815899999999,107.5867279,OPERATIONAL,4.8,45,"school, point_of_interest, establishment",
Kidz Potentia Preschool,"Jalan Terusan Sutami II No.19A, Sukagalih",-6.881257,107.5865792,OPERATIONAL,4.8,14,"school, point_of_interest, establishment",
SMA PGRI 1 Bandung,"Jalan Sukagalih No.80, Sukagalih",-6.891883000000001,107.5899549,OPERATIONAL,4.6,112,"school, point_of_interest, establishment",
Pondok Pesantren Mambaul Ulum,"Jl. Sukamulya Indah RT.06/RW.02, kendal gede, Sukagalih",-6.8860262,107.5867912,OPERATIONAL,4.9,20,"school, point_of_interest, establishment",
Paud Nurul Hikmah,"4H7P+J8V, Komplek Sukamulya, Jalan Babakan Jeruk VIII RT.03/RW.02, Sukagalih",-6.885679499999999,107.5857985,OPERATIONAL,5,5,"school, point_of_interest, establishment",
Triana Bimbel Sukajadi,"kampus yayasan triana dewi jalan mulya hurip no 72, Jalan Sukamulya, Sukagalih",-6.8881708,107.587878,OPERATIONAL,4.8,5,"school, point_of_interest, establishment",
TK Indriyasana,"Jalan Sukamulya Indah 3 No.19, Sukagalih",-6.8888085,107.5852209,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Pondok Pesantren Al-Ihsaniyah,"Jalan Mulyasari No.32, Sukagalih",-6.888219499999999,107.5886837,OPERATIONAL,4.5,17,"school, point_of_interest, establishment",
Uicci bandung,"Jalan Sukamulya Indah 12 No.9, RT.07/RW.02, Sukagalih",-6.8839511,107.5871582,OPERATIONAL,5,238,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Caringin 1,"Jalan Sukamulya No.46, Sukagalih",-6.889468300000001,107.5859521,OPERATIONAL,4.3,21,"primary_school, school, point_of_interest, establishment",
Home Base,"Jalan Terusan Sukamulya No.66, Sukagalih",-6.889140900000001,107.5881282,OPERATIONAL,Unknown,Unknown,"lodging, school, point_of_interest, establishment",
sdn 193 caringin Bandung,"4H6P+CF4, Jalan Babakan Caringin No.19, Sukagalih",-6.889704699999999,107.5859074,OPERATIONAL,4.7,3,"primary_school, school, point_of_interest, establishment",
TKA Al IHSANIYAH,"4H6Q+8G6, Sukagalih",-6.8892181,107.5887767,OPERATIONAL,4.5,4,"school, point_of_interest, establishment",
Homeschooling Candrawinata,"Jalan Sukakarya II No.36, Sukagalih",-6.8863385,107.5828502,OPERATIONAL,5,7,"school, point_of_interest, establishment",
rumah pa dayut/juhana,"Jalan Terusan Mulyasari No.8, Sukagalih",-6.887843300000001,107.5903343,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
