name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Rmh,"Gang KH Ishak Wijaya No.91, RT.08 rw06, Sukahaji",-6.9254621,107.5839699,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SDS PASUNDAN 3 KOTA BANDUNG,"Jalan Babakan Ciparay No.112/194A, Sukahaji",-6.9272433,107.5846649,OPERATIONAL,4.2,12,"school, point_of_interest, establishment",
SD Pasundan 2,"Jalan Babakan Ciparay No.112/ 194 A, Sukahaji",-6.9274035,107.5849829,OPERATIONAL,4.2,10,"primary_school, school, point_of_interest, establishment",
Kober Bakti Ibu,"Jalan Jamika Gg. Mama Dipa RT.002/RW.005, Sukahaji",-6.92625,107.5851311,OPERATIONAL,5,3,"school, point_of_interest, establishment",
PAUD/TKA AL-MANAR,Sukahaji,-6.925482400000001,107.5849504,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Menengah Pertama Pasundan 9 Bandung,Jalan Babakan Ciparay No.112/194 A,-6.92752,107.585405,OPERATIONAL,4.2,19,"school, point_of_interest, establishment",
baby cila home,"Gang Marta No.18, Sukahaji",-6.9291149,107.5839421,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Madrasah DTA IRSYADUL IBAD,"3HGM+9G6, Sukahaji",-6.924078499999999,107.5837584,OPERATIONAL,5,1,"school, point_of_interest, establishment",
MI AL-FURQON II,"Gang Air Mancur No.9, Sukahaji",-6.929434199999999,107.5831719,OPERATIONAL,4.6,14,"school, point_of_interest, establishment",
yayasan pendidikan islam khoirul barokah babakan ciparay,"Gang Air Mancur No.72, Sukahaji",-6.9292514,107.584236,OPERATIONAL,5,1,"school, point_of_interest, establishment",
