name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
National Junior High School 17,"3MVF+C66, Jalan Pacuan Kuda, Sukamiskin",-6.906457700000001,107.6730172,OPERATIONAL,4.6,151,"point_of_interest, school, establishment",
Cendekia Muda Elementary School,"Jalan Arcamanik Endah No.35, Sukamiskin",-6.915420000000002,107.6770238,OPERATIONAL,4.6,70,"primary_school, point_of_interest, school, establishment",
Talenta Music,"Jalan Arcamanik Endah No.37, Sukamiskin",-6.915682700000001,107.6768924,OPERATIONAL,4.9,18,"school, point_of_interest, establishment",
SD Mutiara Bunda,"Jalan Arcamanik Endah No.3, Sukamiskin",-6.9125216,107.6779572,OPERATIONAL,4.7,149,"primary_school, point_of_interest, school, establishment",
Sekolah Dasar Negeri 181 Sukamiskin,"3MQH+QHQ, Jalan Trs Pesantren No.86, Sukamiskin",-6.9107872,107.6790016,OPERATIONAL,4.6,18,"primary_school, point_of_interest, school, establishment",
Mutiara Bunda Playschool - Arcamanik,"Jalan Padang Golf No.8, Sukamiskin",-6.9088542,107.6700559,OPERATIONAL,4.7,19,"point_of_interest, school, establishment",
Mutiara Bunda Playschool - Sukaluyu,"Jalan Batik Tiga Negeri No.01, Sukaluyu",-6.9088531,107.6700497,CLOSED_TEMPORARILY,4.7,3,"point_of_interest, school, establishment",
Mutiara Bunda Senior High School,"Jalan Padang Golf No.11, Sukamiskin",-6.909092599999999,107.6694811,OPERATIONAL,4.7,116,"point_of_interest, school, establishment",
SMP Cendekia Muda,Jalan Puri Ayu Pratama No.17,-6.921291900000001,107.6752817,OPERATIONAL,4.6,77,"point_of_interest, school, establishment",
TK Islam Cendekia Muda Bandung,"Jalan Layar No.14, Sukamiskin",-6.921514099999999,107.672525,OPERATIONAL,4.4,25,"school, point_of_interest, establishment",
GOR LAGA SATRIA ARCAMANIK,"Jalan Pacuan Kuda No.140, Sukamiskin",-6.911198300000001,107.6760072,OPERATIONAL,4,1,"school, point_of_interest, establishment",
TAEKWONDO SOR ARCAMANIK ( TCT GROUP ),"Jalan Pacuan Kuda No.140, Sukamiskin",-6.911012299999999,107.6761775,OPERATIONAL,4.8,36,"school, point_of_interest, establishment",
SMA BM Omni,"Jalan Arcamanik Endah No.14, RT.01/RW.19, Sukamiskin",-6.914092500000001,107.6770599,OPERATIONAL,5,49,"point_of_interest, school, establishment",
Sekolah bisnis Arkan,"Jalan Golf Barat XVII No.1, Sukamiskin",-6.9159096,107.6713497,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
Bloom Learning Center,"Jalan Golf Barat V No.21, Sukamiskin",-6.917136999999999,107.6739783,OPERATIONAL,Unknown,Unknown,"point_of_interest, school, establishment",
TK Badak Putih,"Jalan Arcamanik Endah No.3, Sukamiskin",-6.9125028,107.6778784,OPERATIONAL,4.8,6,"school, point_of_interest, establishment",
