name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sekolah Dasar Negeri Bojongkoneng 2,"Jalan Bojong Koneng No.38, Sukapada",-6.893044000000001,107.6448617,OPERATIONAL,4.7,3,"primary_school, school, point_of_interest, establishment",
Atikan Sunda Foundation School,"Jalan Khp Hasan Mustopa No.115, Sukapada",-6.900663,107.6468003,OPERATIONAL,4.4,128,"school, point_of_interest, establishment",
POS PAUD CEMPAKA,"4J3W+FXC, Jalan Babakan Baru, Sukapada",-6.8963097,107.6474002,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
PKBM TUNAS HARAPAN 1,"Jalan Babakan Baru No.32, Sukapada",-6.8971207,107.6483345,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Rumah Sri Murniyati,"Gang Aster No.41, RT.003/RW.011, Sukapada",-6.895335299999999,107.645119,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekretariat Plat BK,"Gang Aster No.56, Sukapada",-6.895295300000001,107.6450093,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Pa ganda,"4J3V+CQH, Jalan Babakan Baru, Sukapada",-6.896446099999998,107.6444941,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MDA - TKQ AR ROHIM,"4J3X+CQP, Sukapada",-6.8964211,107.6494408,OPERATIONAL,5,10,"school, point_of_interest, establishment",
Raudhatul Athfal Annas,"JL Antusin, No. 03, Cibeunying Kidul, Sukapada",-6.898287,107.648002,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
WH 1920,"Gang Sukaharja 1 No.227, RT.03 rw07, Sukapada",-6.898629599999999,107.6467208,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
MANSUR,"4J3V+RPM, Sukapada",-6.8954159,107.6442869,OPERATIONAL,5,1,"school, point_of_interest, establishment",
STIEB,"4J2W+M66, Sukapada",-6.898343,107.645521,OPERATIONAL,4.7,3,"school, point_of_interest, establishment",
