name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Sukapura C Special Needs School,"3M84+66R, Jalan Perumahan Bumi Asri No.4, Sukapura",-6.930574,107.654563,OPERATIONAL,4.4,8,"school, point_of_interest, establishment",
Ar Rafi' Drajat Middle School,"Jalan Sekejati Raya No.32, Sukapura",-6.9410547,107.6464308,OPERATIONAL,4.5,40,"school, point_of_interest, establishment",
Senior High School 12 Bandung,"Jalan Sekejati No.36, Sukapura",-6.9413977,107.6461698,OPERATIONAL,4.7,172,"school, point_of_interest, establishment",
Synergy MMA Academies,"D'Groove, JL Soekarno Hatta, No. 27, Sukapura",-6.9428421,107.6487204,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SMP Negeri 30 Bandung,"Jalan Sekejati No.23, Sukapura",-6.9405643,107.6449581,OPERATIONAL,4.4,121,"school, point_of_interest, establishment",
TKQ At Taqwa,"Jalan Cibalagung No.24a, Sukapura",-6.934919799999999,107.6537655,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RBA Adzikra,"3M73+8J6, Jalan Cidurian Utara, Sukapura",-6.9367066,107.654017,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TNC Ilahiyah,"Jalan Cidurian Utara No.74, Sukapura",-6.9350879,107.654782,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
HAS Darul Ilmi,"Jalan Cidurian Utara No.179, Sukapura",-6.933405199999999,107.6544889,OPERATIONAL,4.7,20,"school, point_of_interest, establishment",
DTA Al-Furqon,"3M73+FVR, Jalan Cidurian Utara RT.04/RW.09, Sukapura",-6.9362632,107.6546447,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Sdn sukamanah 3,"3M84+444, Jalan Sukamanah III, Sukapura",-6.9347297,107.6553228,OPERATIONAL,Unknown,Unknown,"primary_school, school, point_of_interest, establishment",
TK PGRI Harapan Bangsa II,"Jalan Cidurian Utara No.191, Sukapura",-6.9322979,107.6545664,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Sekolah Bulutangkis Ivana,"Jalan Kawaluyaan No.11A, Sukapura",-6.936073899999998,107.6555191,OPERATIONAL,4.4,23,"school, point_of_interest, establishment",
