name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
TK ISLAM THUFAZKA,"Jalan Sukahaji No.55 A, RT.01/RW.03, Sukarasa",-6.875772,107.584199,OPERATIONAL,4.6,8,"school, point_of_interest, establishment",
TCUC,"4HHQ+29F, Jalan Telkom Gegerkalong, Sukarasa",-6.872436299999999,107.5884282,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Bimbel APIQ - Picung,"Jalan Picung Jalan Gegerkalong Hilir No.109, Sukarasa",-6.8718481,107.5882186,OPERATIONAL,4.3,9,"school, point_of_interest, establishment",
Magister Manajemen Tel-U,"Jalan Gegerkalong Hilir No.47, Gegerkalong",-6.8708475,107.5879165,OPERATIONAL,4.8,4,"school, point_of_interest, establishment",
Prodi MM Gd.Marore,"Jalan Gegerkalong Hilir No.47, Gegerkalong",-6.871577399999999,107.5893859,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Warung Warbu,"Jalan Setraria No.35, Sukarasa",-6.878655200000001,107.5884747,OPERATIONAL,5,3,"school, cafe, food, point_of_interest, establishment",
Bianglala School (KB-TK-SD),"Jalan Sari Endah No.19, Sukarasa",-6.8705467,107.5813567,OPERATIONAL,4.5,40,"school, point_of_interest, establishment",
Elementary School Cipedes 5,"Jalan Gegerkalong Hilir No.79, Sukarasa",-6.8693205,107.5878622,OPERATIONAL,4.3,30,"primary_school, school, point_of_interest, establishment",
Kinderland Preschool Bandung,"Jalan Professor Doktor Sutami No.73, Sukarasa",-6.8777835,107.5898147,OPERATIONAL,4.3,15,"school, point_of_interest, establishment",
Kp Sukarasa,"4HGM+FR7, Sukarasa",-6.873835799999998,107.5845418,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Nurul Syifa,"Jalan Sukahaji No.153, Sukarasa",-6.873749799999999,107.5844373,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
RA/BA/TA Al Miftah,"Jalan Setra Murni Tengah No.22, Sukarasa",-6.875273399999999,107.5846275,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Permata Sari,"Jalan Sukahaji No.07, Sukarasa",-6.872201999999999,107.585644,OPERATIONAL,4.8,5,"school, point_of_interest, establishment",
Kasih Community School,Jalan Setra Murni Atas II No.5,-6.8736947,107.5826442,OPERATIONAL,5,4,"primary_school, school, point_of_interest, establishment",
