name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Elfa Music School - Center Bandung,"Komplek Griya Mas, Jalan Griya Utara No.3, Sukawarna",-6.885495099999999,107.5760889,OPERATIONAL,5,7,"school, point_of_interest, establishment",
Bandung Independent School,Jalan Surya Sumantri No.61,-6.884798,107.5812436,OPERATIONAL,4.3,56,"school, point_of_interest, establishment",
TK Ananda,"Jalan Hercules Raya No.3, Sukawarna",-6.886163599999999,107.5783319,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
YAYASAN Al AISYAH,"Jl.pelabujan II Sukawarna Rt/Rw 003/001 Kel, SINDANGSARI",-6.8869142,107.5785721,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Mindlab,"Ruko Apartmen Majesty B-2, JL Prof. Surya Sumantri, No. 91, Sukawarna, Sukajadi, Sukawarna",-6.8869142,107.5785721,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Kelompok Bermain Griya Alam Cibeber,"JL. Griya Alam No.19, Sukawarna",-6.886976,107.576473,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
SD NEGERI 207 CIBOGO,"Jalan Cibogo No.78, Sukawarna",-6.885602599999999,107.5791003,OPERATIONAL,4.8,12,"primary_school, school, point_of_interest, establishment",
TKQ Liwaul Hamd,"Jalan Cibogo No.63B, RT.001/RW.004, Sukawarna",-6.8863164,107.5793796,OPERATIONAL,5,2,"school, point_of_interest, establishment",
RA/BA/TA Ash Sholihan,"4H6H+R94, Kp Cibogo, Margamulya, Telukjambe, Sukawarna",-6.887976999999999,107.578468,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
kyu kiryu,"4H6H+WP6, Jalan Cibogo, Sukawarna",-6.8877213,107.5792582,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
"Fakultas Kedokteran Umum, Universitas Kristen Maranatha","Jalan Surya Sumantri No.63, Sukawarna",-6.8854571,107.579962,OPERATIONAL,4.4,12,"school, point_of_interest, establishment",
Buntu Roda 4,"4H7F+FW9, Jalan Griya Raya No.45, Sukawarna",-6.8862199,107.5750025,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Raudhatul Athfal Al Ikhlaq,"JL Sarimadu, No. 1, Sarijadi, Sukajadi, Sukawarna",-6.885165,107.57504,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
paud/TK mentari cibogo,"Jalan Terusan Cibogo Atas No.2, Sukawarna",-6.883631699999999,107.5789887,OPERATIONAL,5,2,"school, point_of_interest, establishment",
Majelis Ta'lim Al Musthofa,"Jalan Cibogo, Gg H.Musthofa Jalan Sukawarna RT.06/RW.03, Sukawarna",-6.8844537,107.5753788,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Teknik Sipil Maranatha,"4H7J+C75, Jalan Surya Sumantri, Sukawarna",-6.886494,107.580726,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
