name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
SMKN 3 Bandung,"Jalan Solontongan No.10, Turangga",-6.939370999999999,107.6268739,OPERATIONAL,4.8,1067,"school, point_of_interest, establishment",
PG&RA Nur Rahman,"Jalan Marakas No.9, Turangga",-6.9388625,107.6330408,OPERATIONAL,5,9,"school, point_of_interest, establishment",
Senior High School 22 Bandung,"Jalan Rajamantri Kulon No.17A, Turangga",-6.942209299999999,107.6309167,OPERATIONAL,4.7,177,"school, point_of_interest, establishment",
13 Junior High School Bandung,"3J7F+W62, Jalan Mutiara No.15, Turangga",-6.9355144,107.6226589,OPERATIONAL,4.5,258,"school, point_of_interest, establishment",
Senior High School 8 Bandung,"Jalan Solontongan No.3, Turangga",-6.9388709,107.626036,OPERATIONAL,4.7,333,"school, point_of_interest, establishment",
Karangpawulang Elementary School,"Jalan Karawitan No.81, Turangga",-6.9392132,107.6306852,OPERATIONAL,4.4,120,"primary_school, school, point_of_interest, establishment",
kliningan,"Jalan Kliningan III No.4, Turangga",-6.9400261,107.6299532,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
BASECAMP MULTIMEDIA,"Kel Jalan Solontongan No.10, RT.03/RW.06, Turangga",-6.9392079,107.6277256,OPERATIONAL,Unknown,Unknown,"secondary_school, school, point_of_interest, establishment",
Unpas pgsd kliningan,"3J5H+PCF, Jalan Kliningan, Turangga",-6.940697199999999,107.6285581,OPERATIONAL,4,1,"secondary_school, school, point_of_interest, establishment",
LAPANGAN SMK NEGERI 4 BANDUNG,"3J5H+HP2, Turangga",-6.9411161,107.6292639,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Smk 3 bandung,"3J5H+V27, Jalan Sekar Manis, Turangga",-6.9403425,107.6275559,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
LPK Nakura Bandung,"Jalan Kolenang No.12, Turangga",-6.9371828,107.6315497,OPERATIONAL,5,10,"school, point_of_interest, establishment",
Sekolah Hafizh Quran Bandung,"Jalan Kliningan No.23, Turangga",-6.9410365,107.6284935,OPERATIONAL,4.9,27,"school, point_of_interest, establishment",
SMP Pasundan 6 Bandung,"Jalan Kliningan III No.11 A, Turangga",-6.9412325,107.6297412,OPERATIONAL,4.7,32,"school, point_of_interest, establishment",
TK Harapan Bangsa Yayasan Pasundan Istri (PASI),"Jalan Wirangrong No.2, Turangga",-6.9358458,107.6290534,OPERATIONAL,5,3,"school, point_of_interest, establishment",
Indonesia Drone Academy,"Jalan Sekar Manis No.8, Turangga",-6.939764699999999,107.6266971,OPERATIONAL,4.7,3,"school, point_of_interest, establishment",
SMA 8,"Jalan Karawitan No.11, Turangga",-6.9370735,107.626515,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
