name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level
Creative Creator,"3HHJ+J4W, Jalan Suryani Dalam, Warung Muncang",-6.9208816,107.5803306,OPERATIONAL,5,1,"school, point_of_interest, establishment",
Rumah Bp.Dede Mading,"3HGH+95Q, Gang Cibuntu Timur V, Warung Muncang",-6.9240385,107.5779825,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Belajar Mawali,"Jalan Cibuntu Tengah No.41-45, Warung Muncang",-6.924527400000001,107.5764842,OPERATIONAL,5,10,"school, point_of_interest, establishment",
TKQ-TPQ-MDT AL-ISTIQAMAH,"Jalan Cibuntu Timur No.191, RT.03/RW.04, Warung Muncang",-6.924347699999999,107.5781257,OPERATIONAL,5,2,"school, point_of_interest, establishment",
gang domba,"Jalan Suryani Indah No.13, Warung Muncang",-6.923033200000001,107.576499,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
Rumah Les,"3HGH+H9R, Jalan Cibuntu Timur, Warung Muncang",-6.923534,107.5784822,OPERATIONAL,4.9,20,"school, point_of_interest, establishment",
Sekolah Dasar Negeri Cibuntu 2,"3HGG+RCF, Jalan Holis, Warung Muncang",-6.9229492,107.576043,OPERATIONAL,4.7,13,"primary_school, school, point_of_interest, establishment",
MTs Al-Islam Bandung,"Jalan Soekarno-Hatta No.59 Simpang Holis Gg. Doeng D. Mahfudi, Kelurahan, Warung Muncang",-6.924721099999999,107.5758079,OPERATIONAL,4.9,83,"school, point_of_interest, establishment",
SD Negeri 041 Cibuntu Warung Muncang,"3HGG+R9V, Jalan Holis, Warung Muncang",-6.9228752,107.5759082,OPERATIONAL,4.4,18,"primary_school, school, point_of_interest, establishment",
Madrasah Ibtidaiyah YPPI Bandung,"Jalan Soekarno Hatta, Warung Muncang",-6.924699400000001,107.5757113,OPERATIONAL,5,17,"school, point_of_interest, establishment",
Raudhatul Athfal Al Haadii,"Jalan Soekarno-Hatta No.61, Warung Muncang",-6.924186400000001,107.5754855,OPERATIONAL,Unknown,Unknown,"school, point_of_interest, establishment",
TK Bintari,"Jalan Cibuntu Sayuran No.11, RT.09/RW.06, Warung Muncang",-6.9257407,107.5776469,OPERATIONAL,4.5,6,"school, point_of_interest, establishment",
