name,address,lat,lng,business_status,rating,user_ratings_total,types,ID_Kelurahan
Yayasan Bina Umat Al-Fatah,"Jalan Pasirluyu VII, Ancol",-6.9399663,107.6170241,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.26.1_1
RA/BA/TA Nurul Iman,"Jalan Srisuci No.8A, Ancol",-6.9394836,107.6154778,OPERATIONAL,4.7,9,"school, point_of_interest, establishment",IDN.9.14.26.1_1
Ra Al Hidayah,"Jalan Pasir Salam III No.7, Ancol",-6.942963,107.617053,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.26.1_1
PicuPacu Kreativitas! Indonesia,"Jalan Yogyakarta No.1A, Antapani Kidul",-6.921474,107.660051,OPERATIONAL,5,41,"school, point_of_interest, establishment",IDN.9.14.2.1_1
Junior High School 45,"Jalan Yogyakarta No.9, Antapani Kidul",-6.9218085,107.6599367,OPERATIONAL,4.4,116,"school, point_of_interest, establishment",IDN.9.14.2.1_1
SD Asy-Syifa 2 Bandung,"Jalan Randusari V No.28-29, Antapani Kidul",-6.92553,107.660254,OPERATIONAL,5,285,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.1_1
SD El Fitra,"Jalan Cibodas Raya No.49, Antapani Kidul",-6.9248308,107.664981,OPERATIONAL,4.7,130,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.1_1
SDN 267 GRIYA BUMI ANTAPANI,"Jalan Kadipaten 14 No.2, Antapani Kidul",-6.9194374,107.6557465,OPERATIONAL,4.3,22,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.1_1
SD Muhammadiyah 7 Bandung,"Jalan Kadipaten Raya No.4-6, Antapani Kidul",-6.9177115,107.6550969,OPERATIONAL,4.6,112,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.1_1
Muhammadiyah junior high school 8 Bandung,"Jalan Kadipaten Raya No.4-6, Antapani Kidul",-6.9174497,107.6551852,OPERATIONAL,4.6,47,"school, point_of_interest, establishment",IDN.9.14.2.1_1
SDN 255 Griya Bumi Antapani,"Jalan Cicalengka Raya No.1, Antapani Kidul",-6.9196333,107.6580184,OPERATIONAL,4.5,37,"primary_school, school, point_of_interest, establishment",IDN.9.14.2.1_1
Ativa Daycare & Preschool,"Jalan Karang Asem No.2, Antapani Kidul",-6.9231654,107.6618334,OPERATIONAL,5,6,"school, point_of_interest, establishment",IDN.9.14.2.1_1
SMP Negeri 49 Bandung,"Jalan Antapani Lama No.58, Antapani Kulon",-6.9075899,107.6580657,OPERATIONAL,4.3,93,"school, point_of_interest, establishment",IDN.9.14.2.2_1
KB. Tarum Sari,"Gang Tarumasari RT.01/RW.05, Antapani Kulon",-6.9090578,107.6567436,OPERATIONAL,5,1,"school, point_of_interest, establishment",IDN.9.14.2.2_1
Madrasah Diniyah Al - Ikhlas,"Jalan Antapani Tarumasari, RT. 04 RW. 05 No. 112, Antapani Kulon, Antapani, Antapani Kulon",-6.909759,107.6575702,OPERATIONAL,5,2,"school, point_of_interest, establishment",IDN.9.14.2.2_1
Bimbel SD17,"Jalan Sindang Barang No.17, Antapani Kulon",-6.9105067,107.6550139,OPERATIONAL,5,3,"school, point_of_interest, establishment",IDN.9.14.2.2_1
Sekolah Tahfidzul Qur'an Baitul Muttaqin Kampus 3,"Jalan Antapani Lama No.32, Antapani Kulon",-6.909575,107.6577275,OPERATIONAL,4.9,37,"school, point_of_interest, establishment",IDN.9.14.2.2_1
