name,address,lat,lng,business_status,rating,user_ratings_total,types,price_level,ID_Kelurahan 
Bungtagor Lecker,"Jalan Srimahi II No.29, Ancol",-6.9369904,107.6155835,OPERATIONAL,4.4,18,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
Ayam Jogja Oven,"Jalan Pasirluyu Timur No.31b, Ancol",-6.9403977,107.6163274,OPERATIONAL,4.5,10,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
Mie Roemah,"Jalan Pasir Luyu V No.4, Ancol",-6.9407984,107.6168409,OPERATIONAL,4.6,784,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
Ganbei22,"Jalan Pasirluyu Barat No.22, Ancol",-6.9402526,107.6159454,OPERATIONAL,4.9,10,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
Kedai Ayam Cep Deden,"3J58+HCJ, Jalan Pasirluyu Barat, Ancol",-6.9410488,107.6160065,OPERATIONAL,5,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
warung welcome *tanteu,"Jalan Srisuci No.14, Ancol",-6.940499,107.615486,OPERATIONAL,Unknown,Unknown,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
Waroeng Tengah Poe,Jalan Srisuci No.14,-6.940475,107.615418,OPERATIONAL,5,2,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.26.1_1
Garsela -Mie Baso Kuah,"Jalan Pasirluyu Barat No.40, Ancol",-6.9415211,107.6158654,OPERATIONAL,4.6,229,"restaurant, food, point_of_interest, establishment",1,IDN.9.14.26.1_1
PICTA Antapani,"Jalan Sukanagara Kelurahan No.66, Antapani Kidul",-6.9216081,107.6603079,OPERATIONAL,4.6,27,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.1_1
Citra Mandiri,"Jalan Indramayu No.8, Antapani Kidul",-6.9180975,107.6574288,OPERATIONAL,4.4,5,"restaurant, food, point_of_interest, establishment",Unknown,IDN.9.14.2.1_1
